Name,IDfg,Age,Team,xwOBA,xSLG,xBA,Barrel%,HardHit%,K%,BB%,BABIP,SwStr%,wRC+,HR/FB,GB%,FB%,Pull%,Spd,HR,RBI,R,SB,AVG,OBP,SLG,wOBA,proj_PA,xwOBA_rank
Adael Amador,27962,23,COL,0.269,0.299,0.218,0.034,0.247,0.211,0.086,0.224,0.091,35.0,0.027,0.349,0.446,0.449,1.6,0.96,10.0,5.0,1.0,0.177,0.256,0.265,0.238,128,604.5
Kurt Suzuki,8259,39,LAA,0.268,0.31,0.194,0.035,0.265,0.182,0.094,0.194,0.091,60.0,0.069,0.295,0.518,0.504,0.6,3.04,15.0,10.0,0.0,0.18,0.266,0.295,0.254,159,609.0
Elehuris Montero,20543,26,COL,0.2679,0.3374,0.2041,0.0736,0.4246,0.2878,0.0654,0.296,0.1746,61.4895,0.1014,0.4033,0.4303,0.4156,2.3447,6.843,31.695,29.53,0.0,0.222,0.276,0.362,0.278,260,610.0
Kyle Isbel,21614,29,KCR,0.2676,0.3185,0.2268,0.0303,0.3705,0.1941,0.0581,0.2923,0.0756,78.9938,0.0565,0.4769,0.3571,0.406,6.056,5.252,35.828,48.442,6.062,0.243,0.292,0.361,0.286,389,611.0
Brandon Lockridge,21496,29,- - -,0.267,0.314,0.233,0.029,0.32,0.243,0.054,0.31,0.111,63.0,0.0,0.551,0.235,0.233,7.7,0.0,11.0,17.0,8.8,0.231,0.276,0.299,0.254,148,614.0
Liover Peguero,24273,23,PIT,0.267,0.332,0.225,0.052,0.396,0.315,0.052,0.32,0.138,74.0,0.184,0.515,0.292,0.418,5.2,6.72,26.0,21.0,6.0,0.237,0.28,0.374,0.284,213,614.0
Max Stassi,10059,32,LAA,0.267,0.333,0.177,0.094,0.395,0.299,0.101,0.239,0.136,63.0,0.107,0.523,0.378,0.372,1.9,8.1,30.0,32.0,0.0,0.18,0.267,0.303,0.258,375,614.0
Max Muncy,29779,23,ATH,0.267,0.353,0.203,0.101,0.324,0.309,0.045,0.269,0.148,72.0,0.191,0.453,0.343,0.446,1.6,8.64,23.0,17.0,1.0,0.214,0.259,0.379,0.277,220,614.0
Ryan McKenna,19928,26,BAL,0.267,0.338,0.208,0.096,0.298,0.32,0.064,0.35,0.161,81.0,0.054,0.39,0.37,0.413,4.1,1.98,11.0,23.0,2.0,0.237,0.294,0.34,0.279,172,614.0
Garrett Hampson,19262,30,KCR,0.2664,0.3095,0.2163,0.0393,0.2937,0.2614,0.075,0.3349,0.0993,73.7277,0.0258,0.3991,0.3914,0.3618,5.5117,1.196,18.371,22.328,5.73,0.244,0.302,0.329,0.28,237,617.0
Oscar Colas,30162,25,CHW,0.266,0.347,0.223,0.079,0.404,0.27,0.046,0.281,0.163,53.0,0.089,0.514,0.324,0.303,4.2,4.9,19.0,32.0,4.0,0.216,0.257,0.314,0.249,263,618.5
Ji Hwan Bae,23818,24,PIT,0.266,0.294,0.22,0.02,0.368,0.248,0.081,0.31,0.103,66.0,0.039,0.597,0.219,0.291,7.4,1.94,32.0,54.0,24.0,0.231,0.296,0.311,0.272,371,618.5
Nick Martini,12005,36,COL,0.2659,0.3174,0.214,0.0527,0.3239,0.196,0.0686,0.2554,0.0884,60.007,0.0683,0.4295,0.3968,0.4289,3.4928,2.39,13.571,15.7,0.287,0.219,0.28,0.33,0.269,131,620.0
Tyler Fitzgerald,26208,28,SFG,0.2658,0.3287,0.2079,0.0623,0.2977,0.3016,0.0677,0.3368,0.1465,100.0351,0.1116,0.3499,0.4417,0.4751,5.8411,8.957,23.345,34.887,11.719,0.246,0.304,0.406,0.31,281,621.0
Nick Ahmed,12147,35,- - -,0.2653,0.3286,0.2263,0.0289,0.2603,0.2325,0.0512,0.2844,0.1276,55.7966,0.0358,0.4287,0.3716,0.4114,4.2847,1.68,17.0,17.864,1.963,0.223,0.263,0.298,0.248,221,622.0
