Name,IDfg,Age,Team,xwOBA,xSLG,xBA,Barrel%,HardHit%,K%,BB%,BABIP,SwStr%,wRC+,HR/FB,GB%,FB%,Pull%,Spd,HR,RBI,R,SB,AVG,OBP,SLG,wOBA,proj_PA,xwOBA_rank
Aaron Judge,15640,34,NYY,0.4675,0.7224,0.3001,0.2585,0.6006,0.2452,0.1845,0.3614,0.1328,205.3716,0.3086,0.3264,0.466,0.3942,4.0892,45.727,119.793,124.727,7.135,0.319,0.449,0.683,0.461,648,1.0
Juan Soto,20123,27,NYM,0.434,0.605,0.2918,0.1736,0.5521,0.1803,0.1817,0.2817,0.0694,162.4803,0.2453,0.4562,0.3664,0.422,4.7312,40.122,104.52,116.831,21.611,0.271,0.406,0.533,0.399,710,2.0
Shohei Ohtani,19755,31,LAD,0.4292,0.6513,0.2874,0.218,0.5758,0.2427,0.136,0.3258,0.1354,173.9806,0.2877,0.3885,0.4184,0.4309,7.197,47.716,109.131,132.574,25.154,0.293,0.392,0.628,0.422,702,3.0
Yordan Alvarez,19556,29,HOU,0.4181,0.6059,0.2961,0.1564,0.5182,0.1646,0.1255,0.3097,0.0903,157.6916,0.1638,0.3419,0.4602,0.3836,2.737,26.417,75.526,69.591,2.737,0.296,0.391,0.542,0.392,401,4.0
Ronald Acuna Jr.,18401,28,ATL,0.4073,0.5568,0.2896,0.1438,0.5246,0.2043,0.1393,0.3448,0.1084,152.1089,0.2065,0.4846,0.3397,0.3951,6.1059,23.602,58.155,91.331,28.827,0.297,0.402,0.51,0.393,420,5.0
Jahmai Jones,18872,28,DET,0.399,0.547,0.291,0.134,0.536,0.213,0.12,0.333,0.103,159.0,0.167,0.313,0.438,0.474,5.2,6.86,23.0,21.0,1.84,0.287,0.387,0.55,0.399,150,6.0
Corey Seager,13624,32,TEX,0.3972,0.5764,0.2863,0.1488,0.5198,0.1817,0.1095,0.2998,0.1227,144.2402,0.1952,0.4222,0.3874,0.4045,2.421,24.328,68.81,70.647,1.659,0.282,0.366,0.518,0.373,500,7.0
Vladimir Guerrero Jr.,19611,27,TOR,0.3901,0.5267,0.3027,0.1239,0.5164,0.1411,0.1083,0.3139,0.0933,141.2515,0.1551,0.4726,0.3307,0.3715,2.6156,26.159,92.209,93.08,4.562,0.295,0.377,0.487,0.37,687,8.0
Kyle Schwarber,16478,33,PHI,0.3877,0.5476,0.244,0.1849,0.5603,0.282,0.1537,0.2582,0.1213,139.4922,0.2667,0.3628,0.4618,0.5333,3.4775,42.84,116.87,109.568,4.882,0.233,0.359,0.521,0.375,711,9.0
Ben Rice,29576,27,NYY,0.3846,0.5407,0.2742,0.1543,0.5249,0.2031,0.0971,0.2563,0.0885,122.7641,0.1667,0.3894,0.4169,0.4673,3.9183,22.704,57.713,64.632,2.38,0.24,0.324,0.473,0.343,395,10.0
Jonathan Aranda,21837,28,TBR,0.382,0.515,0.291,0.128,0.541,0.254,0.097,0.409,0.11,146.0,0.147,0.383,0.357,0.417,1.7,13.72,59.0,56.0,0.0,0.316,0.393,0.489,0.381,422,11.0
Kyle Tucker,18345,29,CHC,0.38,0.5076,0.2742,0.1102,0.4222,0.1474,0.1403,0.2821,0.0788,144.2726,0.1386,0.3387,0.4585,0.4495,5.912,23.305,79.469,84.477,20.683,0.274,0.378,0.499,0.374,535,12.0
Ketel Marte,13613,32,ARI,0.3776,0.5087,0.2795,0.1164,0.4783,0.1643,0.1117,0.2938,0.0894,140.883,0.1854,0.4365,0.3845,0.4792,4.0049,25.979,79.637,89.081,4.357,0.282,0.368,0.517,0.376,581,13.0
Marcell Ozuna,10324,35,ATL,0.3766,0.5177,0.2605,0.1368,0.4808,0.2413,0.1268,0.3068,0.114,130.4077,0.1931,0.3937,0.3981,0.4446,1.3717,25.405,84.693,76.175,0.273,0.262,0.357,0.475,0.36,615,14.0
Bobby Witt Jr.,25764,26,KCR,0.3755,0.5318,0.2912,0.1266,0.4739,0.1727,0.0701,0.331,0.1063,137.5613,0.1182,0.3713,0.436,0.3552,7.2191,26.525,95.32,105.573,37.407,0.301,0.354,0.522,0.369,691,15.0
Michael Brantley,4106,36,HOU,0.374,0.477,0.304,0.06,0.451,0.108,0.112,0.311,0.048,128.0,0.075,0.444,0.313,0.372,2.5,4.1,26.0,28.0,0.6,0.288,0.37,0.416,0.345,277,16.0
Fernando Tatis Jr.,19709,27,SDP,0.3732,0.5066,0.2778,0.1174,0.5222,0.2012,0.1071,0.3052,0.1243,127.9511,0.1708,0.4793,0.3386,0.3999,5.6724,24.09,67.379,96.344,25.562,0.268,0.353,0.457,0.35,601,17.0
Roman Anthony,31812,22,BOS,0.372,0.484,0.258,0.155,0.603,0.277,0.132,0.404,0.107,140.0,0.148,0.511,0.31,0.431,4.8,7.6,32.0,48.0,4.0,0.292,0.396,0.463,0.376,303,18.5
Nick Kurtz,35110,23,ATH,0.372,0.537,0.245,0.183,0.509,0.309,0.129,0.364,0.142,170.0,0.308,0.379,0.43,0.368,4.0,34.56,86.0,90.0,2.0,0.29,0.383,0.619,0.419,489,18.5
Ivan Herrera,20599,26,STL,0.3707,0.4839,0.2792,0.1045,0.4595,0.191,0.0955,0.3295,0.0947,134.6268,0.1676,0.4728,0.3127,0.3769,3.9538,15.155,55.716,49.517,7.209,0.288,0.373,0.455,0.361,378,20.0
Bryce Harper,11579,33,PHI,0.3703,0.4973,0.2694,0.122,0.4746,0.2135,0.1244,0.3158,0.1483,137.1673,0.1874,0.418,0.3726,0.3707,3.5506,23.385,77.91,77.765,7.337,0.275,0.37,0.502,0.371,580,21.0
Pete Alonso,19251,31,NYM,0.3697,0.5321,0.2574,0.1614,0.491,0.2314,0.0933,0.2782,0.1029,131.6019,0.1962,0.3887,0.43,0.4189,2.5887,35.214,113.767,89.478,1.858,0.253,0.337,0.501,0.356,694,22.0
Freddie Freeman,5361,36,LAD,0.3696,0.4949,0.281,0.1013,0.4402,0.1792,0.1055,0.3383,0.1096,143.6248,0.1416,0.3902,0.3715,0.3927,4.3387,19.861,92.717,93.157,6.397,0.3,0.381,0.508,0.378,653,23.0
Rafael Devers,17350,29,- - -,0.3689,0.5054,0.2575,0.144,0.5473,0.2419,0.1286,0.3098,0.137,133.9809,0.1991,0.4222,0.3893,0.3714,2.7888,31.088,99.478,93.484,2.044,0.263,0.363,0.495,0.364,672,24.0
Mike Trout,10155,34,LAA,0.3671,0.4948,0.2447,0.1616,0.4976,0.3107,0.1463,0.3156,0.1068,127.332,0.2134,0.332,0.4408,0.3963,3.2425,22.117,61.723,70.572,1.304,0.242,0.361,0.464,0.354,503,25.0
Albert Pujols,1177,43,STL,0.367,0.517,0.26,0.12,0.473,0.157,0.08,0.252,0.092,148.0,0.205,0.38,0.453,0.535,1.4,16.8,68.0,42.0,0.6,0.27,0.345,0.55,0.38,351,26.0
Max Muncy,13301,35,LAD,0.3642,0.4872,0.2313,0.1324,0.4805,0.24,0.1576,0.2503,0.1035,128.542,0.1773,0.3084,0.4982,0.5214,3.562,18.992,72.72,61.395,1.56,0.229,0.357,0.469,0.356,404,27.0
Willson Contreras,11609,34,STL,0.3634,0.4835,0.2599,0.1276,0.4803,0.248,0.0937,0.3186,0.1366,128.8095,0.1721,0.4307,0.3632,0.3902,3.5901,16.37,66.663,62.247,3.335,0.259,0.355,0.456,0.353,486,28.0
George Springer,12856,36,TOR,0.3628,0.4878,0.2678,0.1183,0.4226,0.1863,0.1048,0.2992,0.1085,130.4499,0.1626,0.4302,0.3727,0.4071,5.4548,20.989,72.911,91.844,10.547,0.27,0.353,0.469,0.355,611,29.0
Matt Olson,14344,32,ATL,0.3603,0.4949,0.249,0.141,0.5183,0.2425,0.1219,0.3127,0.1137,134.3935,0.1808,0.3831,0.4163,0.3811,2.3727,30.385,104.184,96.82,0.5,0.265,0.358,0.497,0.365,710,30.0
Wander Franco,23667,23,TBR,0.3601,0.4776,0.2953,0.0711,0.4164,0.1325,0.0841,0.2957,0.0594,124.7281,0.1367,0.4663,0.2974,0.4128,6.8864,14.321,53.267,61.403,25.835,0.28,0.341,0.464,0.344,454,31.0
James Wood,29518,23,WSN,0.3594,0.4827,0.2604,0.1497,0.553,0.3135,0.1214,0.3535,0.1183,125.3648,0.2832,0.5108,0.2557,0.3004,4.1008,24.827,81.62,76.722,14.766,0.258,0.351,0.464,0.35,553,32.0
Jackson Merrill,29490,23,SDP,0.3592,0.5147,0.2791,0.1226,0.4333,0.2006,0.0598,0.3146,0.1267,122.0785,0.1238,0.3692,0.4019,0.3556,5.0815,18.694,76.986,66.815,7.513,0.276,0.321,0.476,0.34,525,33.0
Brent Rooker,19627,31,ATH,0.3586,0.5111,0.2573,0.1486,0.4691,0.258,0.0939,0.3223,0.1502,135.2082,0.1849,0.3501,0.4365,0.4255,4.0913,30.082,92.813,84.225,5.753,0.269,0.343,0.505,0.362,640,34.0
Will Smith,19197,31,LAD,0.3579,0.4737,0.2554,0.1054,0.441,0.1894,0.12,0.3037,0.0787,129.9721,0.121,0.3381,0.4618,0.3474,3.1717,17.331,70.237,71.607,1.445,0.271,0.366,0.463,0.357,497,35.0
Michael Busch,26319,28,CHC,0.3578,0.5046,0.2451,0.1489,0.4453,0.2541,0.101,0.3032,0.1119,131.762,0.1884,0.3707,0.4153,0.4534,4.2132,28.549,80.639,76.128,2.991,0.256,0.34,0.492,0.357,582,36.0
J.D. Martinez,6184,37,NYM,0.3576,0.505,0.257,0.1513,0.4795,0.2877,0.0885,0.318,0.1532,116.8744,0.1705,0.3755,0.4163,0.3697,2.0344,17.135,78.913,54.748,0.191,0.252,0.323,0.464,0.338,501,37.0
Kyle Stowers,26151,28,MIA,0.3563,0.5008,0.2543,0.172,0.5184,0.2918,0.0954,0.3478,0.1654,130.9943,0.1952,0.4097,0.3778,0.4399,4.2777,19.707,62.108,50.775,3.577,0.27,0.346,0.497,0.359,362,38.0
Cal Raleigh,21534,29,SEA,0.3558,0.5138,0.2295,0.1708,0.4759,0.2735,0.1217,0.2519,0.1464,139.7714,0.2154,0.2796,0.5453,0.5262,3.1216,44.696,107.611,91.897,7.928,0.236,0.334,0.52,0.359,641,39.0
Yandy Diaz,16578,34,TBR,0.3554,0.4563,0.2846,0.0812,0.5142,0.1455,0.0921,0.3254,0.064,135.8814,0.1531,0.5345,0.2809,0.2905,1.9589,17.593,75.559,74.297,1.102,0.299,0.368,0.466,0.361,628,40.0
Francisco Lindor,12916,32,NYM,0.3546,0.4788,0.263,0.1041,0.4499,0.1844,0.0876,0.2889,0.0958,129.4542,0.1494,0.3649,0.4194,0.4466,5.7166,28.151,90.705,111.497,22.459,0.267,0.343,0.475,0.353,710,41.0
Mookie Betts,13611,33,LAD,0.3544,0.4663,0.2739,0.0723,0.3974,0.1183,0.1072,0.279,0.0584,127.1333,0.107,0.3046,0.4728,0.4314,5.0785,21.46,85.199,97.538,8.182,0.276,0.354,0.468,0.353,624,42.0
Corbin Carroll,25878,25,ARI,0.3533,0.4724,0.2552,0.1085,0.4527,0.2142,0.102,0.2898,0.0947,127.4615,0.1483,0.3946,0.418,0.4339,8.6148,26.42,79.265,113.224,37.036,0.255,0.34,0.498,0.356,656,43.0
Austin Riley,18360,29,ATL,0.3531,0.5052,0.2585,0.1484,0.5083,0.2624,0.0725,0.3248,0.1325,115.8466,0.1537,0.3697,0.4262,0.4082,3.2299,22.739,68.151,74.686,1.504,0.265,0.324,0.466,0.339,515,44.0
Drake Baldwin,31539,25,ATL,0.353,0.48,0.272,0.11,0.496,0.152,0.085,0.289,0.083,125.0,0.181,0.484,0.312,0.383,2.3,18.62,80.0,56.0,0.0,0.274,0.341,0.469,0.351,446,45.5
Gunnar Henderson,26289,25,BAL,0.353,0.4594,0.2737,0.0992,0.5118,0.2218,0.0985,0.3219,0.1062,131.8064,0.1743,0.4718,0.324,0.3864,6.6374,25.15,78.536,98.743,23.469,0.273,0.35,0.478,0.354,667,45.5
Dominic Canzone,26438,28,SEA,0.3523,0.501,0.2645,0.1326,0.4744,0.2294,0.0758,0.304,0.1367,118.2507,0.1621,0.4383,0.3664,0.4075,2.8913,9.282,26.461,26.358,2.007,0.261,0.32,0.443,0.329,227,47.0
Joc Pederson,11899,34,TEX,0.352,0.4543,0.2443,0.1141,0.469,0.2204,0.1185,0.2649,0.0992,113.8283,0.1521,0.3974,0.4327,0.4682,3.6526,13.805,47.284,48.061,2.328,0.231,0.34,0.424,0.334,377,48.0
Salvador Perez,7304,36,KCR,0.3517,0.5191,0.2671,0.1279,0.4557,0.2037,0.049,0.2753,0.1495,100.9877,0.1358,0.3481,0.4465,0.4733,0.7386,22.645,96.877,55.783,0.0,0.251,0.3,0.446,0.317,624,49.0
Dillon Dingler,27464,27,DET,0.351,0.475,0.29,0.092,0.456,0.235,0.049,0.345,0.112,109.0,0.111,0.359,0.359,0.402,2.5,13.0,57.0,54.0,0.0,0.278,0.327,0.425,0.326,469,50.0
Seiya Suzuki,30116,31,CHC,0.3506,0.4795,0.2535,0.1388,0.4839,0.2531,0.1067,0.3188,0.0865,127.4264,0.1492,0.3435,0.4438,0.3867,4.4648,23.989,87.131,73.81,6.766,0.263,0.343,0.478,0.351,608,51.0
Tom Murphy,13499,33,SEA,0.349,0.501,0.256,0.144,0.442,0.277,0.063,0.358,0.153,142.0,0.211,0.447,0.369,0.476,1.1,7.04,17.0,19.0,0.0,0.29,0.335,0.538,0.367,159,52.0
Ian Happ,17919,31,CHC,0.3487,0.447,0.2492,0.103,0.434,0.2351,0.1283,0.2959,0.1036,118.1602,0.1365,0.3886,0.4007,0.4125,3.97,21.044,81.554,86.547,7.737,0.246,0.345,0.429,0.338,665,53.0
Daylen Lile,29995,23,WSN,0.348,0.449,0.302,0.052,0.4,0.16,0.06,0.336,0.085,132.0,0.093,0.362,0.362,0.42,6.5,8.64,41.0,51.0,8.0,0.299,0.347,0.498,0.36,351,54.0
Giancarlo Stanton,4949,36,NYY,0.3479,0.5076,0.2334,0.2003,0.5344,0.3196,0.0954,0.2835,0.1443,125.6947,0.2675,0.3864,0.4462,0.4364,0.7191,21.001,67.879,43.409,0.0,0.237,0.312,0.506,0.347,367,55.0
Byron Buxton,14161,32,MIN,0.3471,0.5024,0.2456,0.1603,0.5109,0.2755,0.074,0.3016,0.1546,131.5498,0.191,0.3357,0.4829,0.5171,7.6657,25.142,69.065,79.904,12.764,0.258,0.324,0.528,0.359,453,56.0
Jakob Marsee,31370,25,MIA,0.347,0.442,0.275,0.08,0.414,0.205,0.094,0.357,0.073,133.0,0.088,0.444,0.352,0.438,6.9,4.9,33.0,28.0,14.0,0.292,0.363,0.478,0.363,234,57.0
Julio Rodriguez,23697,25,SEA,0.3466,0.4783,0.2718,0.1046,0.4899,0.2327,0.0632,0.3206,0.1489,124.773,0.1759,0.4644,0.3461,0.3784,5.9594,28.019,88.289,96.143,29.459,0.271,0.327,0.46,0.338,673,58.0
Manny Machado,11493,33,SDP,0.3463,0.4807,0.2657,0.1178,0.4966,0.1919,0.0791,0.3009,0.1167,122.7683,0.1457,0.4069,0.413,0.3788,3.6249,24.955,97.656,84.861,7.956,0.274,0.331,0.468,0.342,652,59.0
Trent Grisham,18564,29,NYY,0.3462,0.4552,0.2303,0.1298,0.4425,0.2529,0.1328,0.2491,0.0837,112.7194,0.1766,0.3645,0.449,0.4804,3.4295,24.114,61.833,72.097,4.871,0.218,0.329,0.422,0.329,464,60.0
Gleyber Torres,16997,29,DET,0.3461,0.4428,0.2608,0.077,0.3846,0.175,0.1138,0.292,0.0833,112.2791,0.096,0.3788,0.4063,0.3332,3.0837,17.062,69.654,81.018,5.256,0.259,0.345,0.4,0.329,643,61.0
Stone Garrett,19273,28,WSN,0.346,0.446,0.262,0.094,0.475,0.303,0.096,0.365,0.16,116.0,0.145,0.318,0.395,0.363,3.7,8.82,40.0,40.0,2.76,0.269,0.343,0.457,0.344,271,62.0
Bryan Reynolds,19326,31,PIT,0.3459,0.4616,0.264,0.1,0.4587,0.2424,0.085,0.3191,0.131,108.0501,0.1501,0.4564,0.3075,0.4041,4.0706,18.801,78.903,72.777,5.532,0.258,0.33,0.429,0.329,660,63.0
Brendan Donovan,24679,29,STL,0.3452,0.4385,0.2781,0.0694,0.395,0.1305,0.0816,0.3098,0.0552,117.8384,0.0791,0.4333,0.352,0.3715,2.9743,10.866,56.119,62.377,3.453,0.283,0.353,0.418,0.337,527,64.0
Kerry Carpenter,25961,28,DET,0.3451,0.5044,0.2549,0.129,0.4545,0.2385,0.0534,0.2996,0.1287,125.9457,0.1836,0.3652,0.433,0.458,4.5423,22.481,61.293,57.58,1.677,0.265,0.313,0.512,0.35,411,65.0
Alejandro Kirk,22581,27,TOR,0.345,0.4443,0.2674,0.0822,0.4594,0.1184,0.0963,0.2841,0.0675,107.7864,0.0859,0.4585,0.3453,0.3134,1.1824,11.313,64.276,38.73,0.499,0.27,0.34,0.395,0.322,458,66.0
Tyler O'Neill,15711,31,BAL,0.3448,0.4899,0.2275,0.1584,0.4445,0.2888,0.1077,0.2719,0.1353,111.5408,0.1925,0.3596,0.4647,0.4897,4.3441,17.791,43.447,48.829,3.91,0.225,0.316,0.448,0.329,307,67.0
Riley Greene,25976,25,DET,0.3446,0.4906,0.2485,0.1493,0.4589,0.2901,0.0843,0.3338,0.1301,123.6308,0.2044,0.4331,0.3519,0.4059,3.8367,27.381,87.671,77.598,3.187,0.263,0.328,0.477,0.345,578,68.0
Jo Adell,20220,27,LAA,0.3442,0.5009,0.2453,0.1516,0.475,0.2732,0.0636,0.2561,0.1404,103.9526,0.1952,0.3692,0.4498,0.4092,3.9247,30.459,83.764,58.511,7.8,0.226,0.288,0.454,0.319,509,69.0
Dylan Beavers,31695,24,BAL,0.344,0.408,0.213,0.093,0.28,0.263,0.19,0.3,0.076,125.0,0.111,0.297,0.486,0.413,4.2,3.88,14.0,16.0,2.0,0.227,0.375,0.4,0.347,137,70.0
Ryan O'Hearn,16442,32,- - -,0.3438,0.4473,0.2687,0.0773,0.429,0.1845,0.0934,0.3164,0.0907,122.9417,0.125,0.4324,0.3628,0.3712,3.5206,14.363,61.336,62.172,2.492,0.277,0.35,0.44,0.342,495,71.0
Christian Yelich,11477,34,MIL,0.3433,0.4463,0.2582,0.0952,0.4733,0.2374,0.111,0.3345,0.1113,126.2784,0.2491,0.5659,0.2418,0.3399,5.0054,19.631,83.834,85.01,13.268,0.275,0.36,0.455,0.352,547,72.0
Bo Bichette,19612,28,TOR,0.3432,0.4594,0.286,0.0772,0.4709,0.1681,0.0592,0.3316,0.0973,119.9806,0.1182,0.471,0.2995,0.2841,3.2699,15.965,78.311,68.277,4.655,0.293,0.337,0.451,0.34,541,73.0
Matt Wallner,26466,28,MIN,0.3429,0.4612,0.2152,0.1546,0.4781,0.3128,0.1097,0.283,0.1675,127.9869,0.2051,0.322,0.4902,0.5056,4.4938,18.2,39.394,41.001,3.18,0.223,0.335,0.485,0.353,325,74.0
Tyler Soderstrom,27467,24,ATH,0.3428,0.4633,0.2564,0.1196,0.4976,0.23,0.0891,0.3175,0.1131,123.0659,0.1862,0.4874,0.3256,0.35,3.0549,21.521,81.219,64.978,6.593,0.268,0.341,0.466,0.348,466,75.0
Jose Ramirez,13510,33,CLE,0.3417,0.4583,0.2761,0.0745,0.3837,0.1128,0.094,0.2759,0.0654,133.8026,0.1257,0.3381,0.4674,0.5259,6.3614,27.738,96.275,102.605,27.95,0.281,0.352,0.509,0.359,680,76.0
Carlos Correa,14162,31,- - -,0.3415,0.4428,0.2704,0.0814,0.4553,0.1947,0.0903,0.3208,0.0917,115.8076,0.1232,0.463,0.32,0.3818,1.7563,13.61,55.776,61.215,0.0,0.275,0.342,0.43,0.335,520,77.0
William Contreras,20503,28,MIL,0.3411,0.4323,0.256,0.0827,0.4878,0.1965,0.1184,0.3185,0.1119,122.0208,0.1474,0.5225,0.297,0.3853,3.5709,18.597,80.26,90.302,6.254,0.272,0.36,0.433,0.346,640,78.0
Colson Montgomery,29712,24,CHW,0.341,0.501,0.23,0.144,0.443,0.292,0.088,0.263,0.154,129.0,0.259,0.376,0.468,0.514,2.6,20.37,55.0,43.0,0.0,0.239,0.311,0.529,0.355,284,79.5
Troy Johnston,26143,29,MIA,0.341,0.461,0.274,0.093,0.407,0.215,0.066,0.329,0.142,109.0,0.125,0.365,0.376,0.465,4.0,3.84,13.0,12.0,1.76,0.277,0.331,0.42,0.328,121,79.5
Wyatt Langford,33333,24,TEX,0.3407,0.4431,0.2439,0.1222,0.4651,0.2421,0.115,0.2979,0.098,115.3545,0.1313,0.3756,0.4222,0.4655,5.4669,19.14,66.535,73.378,20.866,0.246,0.337,0.425,0.331,567,81.5
Josh Bell,13145,33,WSN,0.3407,0.4507,0.2498,0.0992,0.4352,0.1849,0.1005,0.2698,0.1049,105.7068,0.1455,0.4771,0.3529,0.4212,1.6931,18.255,68.079,57.677,0.0,0.245,0.326,0.414,0.323,575,81.5
Matt Chapman,16505,33,SFG,0.3403,0.4413,0.239,0.1224,0.4958,0.2495,0.1158,0.2866,0.0991,117.3945,0.1375,0.3826,0.4514,0.4238,4.7485,19.92,66.275,81.88,6.943,0.238,0.333,0.44,0.336,581,83.0
Paul Goldschmidt,9218,38,NYY,0.3399,0.4654,0.2609,0.0979,0.4693,0.2232,0.0841,0.3227,0.1018,110.4333,0.1168,0.4053,0.3774,0.3791,4.2203,14.375,62.857,78.604,4.948,0.266,0.332,0.426,0.327,603,84.0
Junior Caminero,28163,22,TBR,0.3398,0.4881,0.252,0.1368,0.5057,0.1945,0.0629,0.2642,0.1205,125.5232,0.2272,0.4672,0.3809,0.4615,3.6014,37.383,96.672,81.7,6.276,0.262,0.309,0.519,0.35,470,85.0
Alec Burleson,27615,27,STL,0.3397,0.4593,0.2713,0.0792,0.4207,0.1371,0.0661,0.2929,0.085,113.2671,0.1059,0.4049,0.3955,0.3511,3.4,17.823,68.096,57.549,5.924,0.277,0.327,0.437,0.331,524,86.0
Taylor Ward,17548,32,LAA,0.3394,0.4559,0.24,0.1276,0.4269,0.2475,0.1048,0.2756,0.0883,115.3764,0.1552,0.3447,0.4634,0.3778,3.4427,26.28,85.424,78.091,3.565,0.24,0.323,0.453,0.335,612,87.0
Triston Casas,22514,26,BOS,0.3391,0.4612,0.2287,0.1232,0.4558,0.2707,0.1235,0.2902,0.1273,108.726,0.1869,0.3909,0.4053,0.3868,1.3439,14.952,40.538,38.124,0.0,0.236,0.335,0.434,0.331,226,88.0
Dansby Swanson,18314,32,CHC,0.3386,0.4594,0.2559,0.1081,0.448,0.252,0.0831,0.3016,0.1366,100.6844,0.1441,0.4405,0.3559,0.4587,5.6049,19.349,75.729,83.885,13.401,0.246,0.31,0.411,0.314,631,89.0
Ramon Laureano,17128,31,- - -,0.3383,0.4704,0.2507,0.1271,0.4426,0.2668,0.0683,0.3263,0.1289,120.7686,0.168,0.4093,0.3722,0.445,5.0505,16.532,57.23,58.16,6.638,0.263,0.326,0.464,0.34,414,90.0
Ji-Man Choi,5452,32,TBR,0.338,0.422,0.233,0.119,0.475,0.294,0.138,0.32,0.125,114.0,0.147,0.451,0.319,0.415,0.7,9.9,52.0,36.0,0.0,0.233,0.341,0.388,0.322,419,91.5
Alex Bregman,17678,32,BOS,0.338,0.4331,0.2564,0.0626,0.4131,0.1332,0.0994,0.2746,0.0525,123.2438,0.1098,0.3657,0.4514,0.4402,2.8165,20.163,76.033,79.192,1.575,0.266,0.347,0.454,0.347,586,91.5
Michael Conforto,16376,33,LAD,0.3373,0.4364,0.2411,0.1003,0.438,0.2426,0.1055,0.2632,0.1029,95.06,0.1235,0.4256,0.3921,0.3958,2.7083,13.261,49.469,55.36,0.887,0.218,0.312,0.379,0.305,484,94.0
Vinnie Pasquantino,27676,28,KCR,0.3373,0.4602,0.263,0.0935,0.4492,0.1438,0.0755,0.2686,0.0722,113.5505,0.1264,0.3837,0.4295,0.4524,2.0043,24.987,98.156,64.089,0.843,0.263,0.323,0.462,0.335,547,94.0
Brandon Lowe,18882,31,TBR,0.3373,0.4735,0.2476,0.1233,0.4589,0.267,0.0798,0.2897,0.1668,116.3163,0.2001,0.3818,0.4058,0.469,3.7857,23.939,72.145,68.03,3.281,0.248,0.311,0.467,0.333,478,94.0
Jurickson Profar,10815,33,ATL,0.3372,0.406,0.2538,0.064,0.3983,0.1583,0.1157,0.2812,0.072,119.6682,0.1116,0.3968,0.4105,0.4257,4.0594,15.028,61.154,72.704,5.484,0.258,0.356,0.428,0.344,502,96.5
Jordan Westburg,27815,27,BAL,0.3372,0.4699,0.2624,0.1087,0.4458,0.2254,0.051,0.3072,0.1314,116.2413,0.1415,0.424,0.4038,0.385,4.7891,15.72,47.427,54.285,3.174,0.264,0.312,0.46,0.332,358,96.5
Jake Burger,22275,30,TEX,0.337,0.4881,0.2519,0.1391,0.4796,0.259,0.0465,0.2833,0.157,103.0594,0.1796,0.419,0.4171,0.4162,2.6966,23.009,66.676,57.732,0.82,0.245,0.29,0.456,0.318,453,98.5
Kyle Teel,33549,24,CHW,0.337,0.416,0.237,0.096,0.376,0.259,0.125,0.361,0.12,125.0,0.123,0.375,0.369,0.421,3.1,7.76,35.0,38.0,3.0,0.273,0.375,0.411,0.349,297,98.5
Josh Naylor,18839,29,- - -,0.3368,0.4476,0.2671,0.0751,0.4135,0.1474,0.0812,0.2924,0.1062,124.1809,0.1406,0.4576,0.3667,0.4268,4.3135,22.12,97.169,75.94,16.029,0.278,0.341,0.464,0.344,587,100.0
Rob Refsnyder,13770,35,BOS,0.3367,0.4317,0.2494,0.0976,0.4525,0.2451,0.1085,0.3415,0.0992,124.4184,0.1544,0.4436,0.3345,0.4004,3.6621,6.887,32.99,30.302,2.08,0.272,0.359,0.45,0.352,242,101.0
Jorge Soler,14221,34,LAA,0.3365,0.4548,0.2326,0.1314,0.4405,0.2649,0.1065,0.2798,0.1202,109.4484,0.1592,0.3932,0.4418,0.467,2.0563,18.172,55.173,62.261,0.422,0.233,0.322,0.438,0.329,437,102.0
Romy Gonzalez,21562,29,BOS,0.3363,0.4644,0.2689,0.1138,0.5551,0.2468,0.0539,0.3667,0.15,115.9097,0.1358,0.5173,0.2888,0.3177,5.4985,7.823,46.193,40.761,6.528,0.294,0.333,0.464,0.34,293,103.0
Yainer Diaz,23003,27,HOU,0.3361,0.4762,0.2798,0.0923,0.4429,0.1734,0.0356,0.3005,0.1329,104.9953,0.1382,0.4758,0.3219,0.4049,2.5335,18.974,73.654,60.3,1.175,0.275,0.302,0.441,0.317,548,104.0
Alejandro Osuna,27915,23,TEX,0.336,0.39,0.271,0.059,0.37,0.193,0.119,0.256,0.069,72.0,0.053,0.415,0.322,0.303,2.8,1.92,15.0,12.0,5.0,0.212,0.313,0.278,0.27,176,105.0
Adley Rutschman,26288,28,BAL,0.3357,0.4236,0.2574,0.07,0.3776,0.1572,0.1102,0.2696,0.0601,106.1169,0.097,0.3948,0.3959,0.4151,2.1765,15.222,60.33,61.449,0.759,0.247,0.33,0.396,0.318,508,106.0
Jorge Polanco,13152,32,SEA,0.3355,0.451,0.2504,0.1033,0.4222,0.2119,0.092,0.2757,0.1057,117.751,0.1425,0.3461,0.4425,0.4939,2.7717,18.878,63.265,53.958,3.793,0.247,0.319,0.444,0.329,471,107.0
Alec Bohm,21618,29,PHI,0.3352,0.4355,0.2808,0.0624,0.4486,0.1553,0.0621,0.3122,0.0722,106.8885,0.1029,0.4699,0.3101,0.3307,3.4308,13.571,79.26,61.626,2.938,0.282,0.329,0.426,0.327,560,108.5
Lars Nootbaar,21454,28,STL,0.3352,0.4244,0.2442,0.0996,0.4756,0.2007,0.1216,0.2832,0.0694,105.2472,0.1052,0.4328,0.3897,0.3523,3.7688,12.721,46.611,61.578,5.471,0.241,0.337,0.388,0.319,503,108.5
