Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mookie Betts","LAD",151,651,567,155,97,31,3,24,95,90,73,3,77,4,5,1,,9,2,0.273971,0.111962,0.117696,0.951283,0.357956,0.467866,0.356008,0.825822,0.193896,4.45685,0.277641,-0.226291,-0.239642,99.6235,22.7028,129.971,-0.465933,-3.05484,22.659034579992294,3.920161008834839,4.93536,58.119998931884766,,,,,,,876.1,5.801986754,876.1,5.801986754,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kyle Tucker","LAD",151,651,555,149,86,28,2,33,101,99,88,6,95,3,3,2,,22,4,0.268396,0.134808,0.146649,0.919252,0.369711,0.505094,0.373582,0.874805,0.236698,5.37164,0.269761,0.0249932,1.66778,108.912,31.9914,142.01,1.69277,-0.575392,34.10629105567932,-7.550392031669617,4.93298,13.220000267028809,,,,,,,985.8,6.528476821,985.8,6.528476821,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"José Ramírez","CLE",157,679,602,165,99,34,3,29,95,96,66,20,80,5,6,0,,32,7,0.273386,0.0977005,0.117303,0.832892,0.346937,0.483574,0.347189,0.83051,0.210187,5.89085,0.271709,-0.0724456,2.31885,99.0466,18.8175,124.894,2.2464,1.61227,22.168513774871826,2.237273335456848,4.88807,5.730000019073486,,,,,,,964.5,6.143312101,964.5,6.143312101,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Alejandro Kirk","TOR",125,495,435,118,84,19,0,15,52,63,50,2,60,4,5,0,,1,0,0.272238,0.10177,0.120724,0.842998,0.349591,0.422397,0.33648,0.771988,0.150159,1.73824,0.282817,-1.32341,-0.760853,67.8475,9.40666,116.936,-2.08426,5.86283,7.788413047790527,14.587827205657959,4.87945,156.39999389648438,,,,,,,585.8,4.6864,585.8,4.6864,,,,,,,,,,,,,,,,,,,"Alejandro Kirk","22581",672386
"Vladimir Guerrero Jr.","TOR",157,679,590,173,106,33,0,34,98,105,78,9,92,6,5,0,,5,2,0.293676,0.114411,0.135859,0.842132,0.37931,0.52136,0.382477,0.90067,0.227684,2.75679,0.298089,-0.398813,-0.96352,118.5,38.2709,148.621,-1.36233,-1.26722,37.54833114147186,-13.592215299606323,4.84206,18.1200008392334,,,,,,,1050,6.687898089,1050,6.687898089,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Corbin Carroll","ARI",146,630,548,142,78,26,12,27,100,88,67,3,132,9,5,2,,33,7,0.258537,0.1068,0.209386,0.510064,0.346505,0.493874,0.358713,0.84038,0.235338,8.12747,0.291948,2.09878,2.88159,97.7932,23.3538,130.331,4.98037,4.7768,27.627643585205078,-1.7731976509094238,4.78973,15.199999809265137,,,,,,,915.9,6.273287671,915.9,6.273287671,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Elly De La Cruz","CIN",156,672,598,157,95,31,6,25,97,89,66,6,173,4,3,1,,41,11,0.262246,0.0982061,0.257854,0.38086,0.337917,0.459171,0.341326,0.797088,0.196924,7.38593,0.328145,1.68633,2.6719,94.8267,15.4247,114.524,4.35823,0.927093,15.926392555236816,7.877092361450195,4.72286,8.529999732971191,,,,,,,897.4,5.752564102,897.4,5.752564102,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Geraldo Perdomo","ARI",159,686,581,154,106,30,4,15,96,72,83,1,88,8,6,7,,23,6,0.266024,0.12166,0.1289,0.943834,0.362851,0.40815,0.339994,0.771001,0.142126,5.85468,0.288695,0.34546,0.805836,96.0601,15.0039,117.508,1.1513,0.443354,15.385849118232727,7.79335343837738,4.70664,76.70999908447266,,,,,,,832.1,5.233333333,832.1,5.233333333,,,,,,,,,,,,,,,,,,,"Geraldo Perdomo","22799",672695
"Pete Crow-Armstrong","CHC",149,644,591,150,88,30,5,26,88,92,35,1,155,9,6,4,,34,9,0.253575,0.054373,0.24032,0.226253,0.302578,0.455857,0.324224,0.758435,0.202282,7.10216,0.297462,0.812078,2.15341,81.9333,5.83978,109.481,2.96549,11.9331,10.20222783088684,14.233111143112183,4.69219,32.11000061035156,,,,,,,780.3,5.236912751,780.3,5.236912751,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Junior Caminero","TBR",154,665,610,165,96,29,1,39,89,116,46,1,127,4,5,0,,6,2,0.270377,0.0688869,0.190604,0.361414,0.322886,0.51319,0.355281,0.836076,0.242813,3.34425,0.279544,-0.0633625,-0.338425,101.374,22.7987,128.402,-0.401787,-1.57242,21.8588425219059,0.2025836706161499,4.59891,16.729999542236328,,,,,,,926.2,6.014285714,926.2,6.014285714,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Ketel Marte","ARI",147,637,554,152,91,31,3,27,94,86,70,6,104,7,5,1,,6,1,0.273555,0.109412,0.162694,0.672501,0.358929,0.486639,0.361568,0.845567,0.213084,4.3491,0.29033,-0.0850714,-0.49427,100.357,25.0901,132.287,-0.579342,-0.213246,23.796301245689392,-0.13824550807476044,4.58884,32.29999923706055,,,,,,,897.6,6.106122448,897.6,6.106122448,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Patrick Bailey","SFG",133,525,473,108,74,20,2,11,53,53,41,0,137,3,5,2,,3,0,0.227896,0.0785849,0.260481,0.301692,0.291168,0.349033,0.282246,0.640202,0.121138,3.81268,0.293502,-0.333101,-0.385414,48.8819,-13.1273,81.3262,-0.718515,12.1732,-12.33352667093277,22.42320728302002,4.57231,746.4600219726562,,,,,,,442.3,3.325563909,442.3,3.325563909,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"William Contreras","MIL",152,610,531,143,94,29,1,20,80,77,71,4,116,4,4,0,,6,2,0.270069,0.11667,0.189735,0.614911,0.35773,0.439907,0.346441,0.797637,0.169838,3.57737,0.309398,-0.513625,-0.699908,88.6108,16.5346,123.663,-1.21353,-0.068014,15.894068121910095,7.481986157596111,4.49802,54.90999984741211,,,,,,,778.4,5.121052631,778.4,5.121052631,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Wyatt Langford","TEX",149,644,558,144,87,29,2,25,90,80,75,3,145,6,4,1,,22,6,0.257438,0.116811,0.225886,0.517126,0.349007,0.453333,0.347007,0.802339,0.195895,5.2642,0.302393,0.53987,0.926009,93.8456,17.7521,124.989,1.46588,4.5251,20.433284163475037,1.22509765625,4.48372,41.470001220703125,,,,,,,846.9,5.683892617,846.9,5.683892617,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Trea Turner","PHI",149,644,591,167,114,30,4,19,92,73,42,1,118,6,4,2,,28,5,0.282587,0.0657175,0.183243,0.358635,0.334479,0.442454,0.336212,0.776933,0.159866,6.51006,0.323311,1.41708,2.55104,88.2014,12.1079,114.291,3.96812,0.198051,14.875716924667358,7.098051533102989,4.44034,26.100000381469727,,,,,,,815.8,5.475167785,815.8,5.475167785,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Yordan Alvarez","HOU",130,560,475,140,81,28,1,30,83,85,71,11,97,7,6,1,,3,1,0.294375,0.126975,0.172581,0.735741,0.390636,0.544705,0.393404,0.935341,0.25033,3.32745,0.311315,-0.755013,-0.84796,102.7,36.5318,156.12,-1.60297,-0.0978913,35.43776834011078,-11.897890515625477,4.38042,33.290000915527344,,,,,,,914.8,7.036923076,914.8,7.036923076,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Corey Seager","TEX",131,567,495,133,81,26,0,26,77,78,63,11,103,5,4,0,,3,0,0.26824,0.110845,0.182,0.60904,0.353897,0.478543,0.353445,0.83244,0.210303,2.54972,0.288938,-0.870398,-0.588988,85.5887,18.5933,129.424,-1.45939,0.593381,18.203946113586426,4.918381035327911,4.36235,96.56999969482422,,,,,,,779.3,5.948854961,779.3,5.948854961,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Matt Chapman","SFG",156,672,583,141,81,31,2,27,89,84,77,1,165,8,4,0,,9,3,0.24151,0.114351,0.246189,0.464484,0.335838,0.438622,0.336858,0.77446,0.197112,4.28947,0.288924,-0.0757015,-0.47187,92.3889,12.9869,118.737,-0.547572,3.38719,14.375803589820862,5.787185430526733,4.35039,163.75,,,,,,,825.4,5.291025641,825.4,5.291025641,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Bo Bichette","NYM",152,658,608,177,122,34,1,19,81,86,42,1,107,4,4,1,,6,3,0.290763,0.0635865,0.162797,0.390586,0.338417,0.446834,0.33946,0.785251,0.156071,3.39324,0.324274,0.267116,-1.21097,91.8544,14.1066,121.428,-0.943851,4.26081,15.766741216182709,4.86081326007843,4.35026,96.4000015258789,,,,,,,807.1,5.309868421,807.1,5.309868421,,,,,,,,,,,,,,,,,,,"Bo Bichette","19612",666182
"Jackson Merrill","SDP",146,630,576,155,97,29,5,24,82,84,42,2,121,4,5,3,,7,3,0.269628,0.0664568,0.191434,0.347153,0.320777,0.462186,0.335116,0.782963,0.192558,4.87543,0.301353,1.039,-0.707389,85.7234,11.2841,118.889,0.331609,4.79609,14.435586899518967,6.846086263656616,4.32188,70.47000122070312,,,,,,,773.1,5.295205479,773.1,5.295205479,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Zach Neto","LAA",154,665,595,152,88,34,1,28,94,85,46,4,159,18,4,3,,28,9,0.254987,0.0689783,0.23928,0.288274,0.325115,0.458831,0.336674,0.783946,0.203845,5.66364,0.299854,0.47352,0.959062,91.3271,12.7522,115.288,1.43258,-1.38573,13.414828658103943,5.739274501800537,4.30146,27.690000534057617,,,,,,,843.7,5.478571428,843.7,5.478571428,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Adley Rutschman","BAL",141,566,495,126,79,27,1,19,68,68,64,2,89,3,4,0,,1,0,0.254518,0.112556,0.157424,0.714986,0.340368,0.426483,0.333809,0.766851,0.171965,2.5005,0.274327,-0.369172,-0.819432,76.4684,9.54388,115.937,-1.1886,2.77147,9.450172901153564,8.846467971801758,4.00715,150.61000061035156,,,,,,,676.1,4.79503546,676.1,4.79503546,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Willy Adames","SFG",157,679,596,141,85,28,1,27,85,87,72,2,166,4,6,0,,12,4,0.236383,0.106658,0.244046,0.43704,0.320955,0.422272,0.322741,0.743227,0.185889,4.19241,0.279273,0.0864758,-0.186286,85.5686,5.33953,109.066,-0.0998101,2.0957,7.196328222751617,9.370695114135742,4.0063,129.44000244140625,,,,,,,773.9,4.929299363,773.9,4.929299363,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
