Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ramón Laureano","SDP",127.286,518.648,468.691,114.885,70.6011,22.2822,2.59408,19.4077,66.1961,64.9821,36.9017,0.676,137.897,9.46052,3.10239,0.492463,8.75431,8.51198,2.9474,0.245119,0.0711499,0.265878,0.267604,0.311195,0.427955,0.320261,0.73915,0.182836,5.17111,0.303596,-0.506116,-0.272305,64.3167,3.03448,104.711,-0.778421,0.463405,2.1093549728393555,-5.429477781057358,1.45623,222.8699951171875,2.75045,0.869932,0.156725,2.75045,-0.869932,4.79103,581.2,4.576377952,581.2,4.576377952,,,,,,,,,,,,,,,,,,,"Ramon Laureano","17128",657656
"Josh Smith","TEX",122.586,502.737,440.214,105.238,72.5135,21.1836,1.89234,9.64863,58.0395,43.5494,46.8852,1.12072,95.9526,10.2083,2.83747,2.59236,7.04353,9.20045,2.69368,0.239062,0.09326,0.19086,0.488629,0.324569,0.361534,0.304959,0.686104,0.122473,4.67301,0.28327,-0.0877919,-0.111243,56.0978,-3.30444,96.0244,-0.199035,-2.29314,-2.554739862680435,-0.7744108438491821,1.42974,519.7100219726562,1.67455,0.597242,0.538487,1.67455,-0.597242,4.28202,494,4.016260162,494,4.016260162,,,,,,,,,,,,,,,,,,,"Josh Smith","26396",669701
"Jorge Polanco","NYM",123.238,507.036,451.498,111.589,69.268,20.8771,0.3043,21.1398,60.9191,68.3951,46.439,1.2764,103.909,3.45129,3.94397,1.70442,7.4122,5.23925,1.88961,0.247154,0.0915891,0.204933,0.446921,0.319551,0.435206,0.32642,0.754757,0.188052,3.05773,0.273763,-0.323908,-0.504197,65.412,5.50176,108.941,-0.828105,2.066,4.530230104923248,-7.739513635635376,1.42736,213.49000549316406,2.02308,1.22233,0.392621,2.02308,-1.22233,4.47651,585.4,4.759349593,585.4,4.759349593,,,,,,,,,,,,,,,,,,,"Jorge Polanco","13152",593871
"Chase DeLauter","CLE",102.436,439.775,394.319,96.2105,63.0907,20.4598,0.917004,11.7431,50.1184,47.9539,39.5669,0.763524,82.2581,1.85584,3.65795,0.374875,8.90022,3.09453,1.13204,0.243992,0.0899709,0.187046,0.481009,0.31323,0.389871,0.307399,0.703101,0.145879,3.36187,0.277876,-0.100177,-0.529607,49.9433,-2.01943,97.4842,-0.629783,0.787041,-1.9337706565856934,0.5475252866744995,1.40681,999,1.91684,-0.292427,0.384087,1.91684,0.292427,4.48788,449,4.401960784,449,4.401960784,,,,,,,,,,,,,,,,,,,"Chase DeLauter","32127",800050
"Jared Triolo","PIT",123.48,490.795,433.021,104.476,72.4583,20.6831,2.27583,9.05852,55.0346,43.7236,49.0755,0.670517,111.982,3.8402,2.90399,1.95415,6.14266,13.0746,3.29259,0.241272,0.0999919,0.228164,0.438246,0.321969,0.362306,0.303456,0.684274,0.121034,5.18866,0.303023,-0.297812,0.443291,54.1662,-3.82497,91.5789,0.145479,0.118007,-4.753045901656151,2.1739958003163338,1.40678,737,2.52779,-2.99791,0.724103,2.52779,2.99791,4.03453,481.6,3.915447154,481.6,3.915447154,,,,,,,,,,,,,,,,,,,"Jared Triolo","25807",669707
"Tyler Stephenson","CIN",108.58,425.744,377.097,88.7394,56.5361,17.246,0.843529,14.1138,48.5778,51.6842,40.9441,1.00188,120.853,4.53318,2.9686,0.201866,7.15173,0.884764,0.535938,0.235323,0.0961705,0.283862,0.338793,0.315401,0.397813,0.312018,0.713214,0.16249,2.52878,0.304471,-0.159065,-0.709368,49.9464,-0.35859,94.4472,-0.868432,-1.09184,-3.670345187187195,3.2065012454986572,1.40176,277.7300109863281,2.01265,1.30551,0.314577,2.01265,-1.30551,4.58056,445.1,4.083486238,445.1,4.083486238,,,,,,,,,,,,,,,,,,,"Tyler Stephenson","17988",663886
"Lars Nootbaar","STL",117.354,499.141,432.407,104.693,67.2901,20.8799,1.75091,14.7724,58.9015,51.0409,58.8074,2.09343,100.715,3.16458,3.60836,1.15329,8.01251,5.69117,2.31603,0.242117,0.117817,0.201776,0.583901,0.334678,0.400993,0.322431,0.735671,0.158875,3.83912,0.280539,0.454177,-0.649748,62.7769,3.79959,106.201,-0.195571,-1.66462,3.462831750512123,-6.695210814476013,1.39766,727.5700073242188,2.70042,-1.82395,0.217543,2.70042,1.82395,4.70994,561.1,4.795726495,561.1,4.795726495,,,,,,,,,,,,,,,,,,,"Lars Nootbaar","21454",663457
"Tommy Edman","LAD",108.981,441.481,403.553,98.0862,64.6273,19.2111,1.90046,12.3474,54.9852,49.5523,28.2274,0.39941,77.7072,4.55931,3.82249,1.3192,6.96295,8.99615,1.91619,0.243057,0.063938,0.176015,0.363253,0.297329,0.391871,0.299666,0.6892,0.148814,5.42501,0.270196,0.195034,0.374057,47.3652,-4.79921,90.5631,0.569091,1.26877,-4.354999125003815,2.9979439973831177,1.38987,701.9600219726562,2.35401,-1.11689,0.407215,2.35401,1.11689,4.45705,434.6,3.987155963,434.6,3.987155963,,,,,,,,,,,,,,,,,,,"Tommy Edman","19470",669242
"Sean Murphy","ATL",88.8892,344.94,301.46,66.4211,39.1385,12.9647,0.275178,14.0427,39.4791,42.9506,33.4902,0.714554,94.2123,7.53311,2.05404,0.402453,7.08933,0.405826,0.139202,0.220331,0.09709,0.273127,0.355476,0.311851,0.404911,0.313878,0.716762,0.184579,2.11712,0.268251,-0.077729,-0.500326,40.9879,0.23058,100.131,-0.578055,1.51242,-0.5244830176234245,2.5121673345565796,1.37753,742.0999755859375,2.0069,-1.96651,0.54456,2.0069,1.96651,4.27392,360.9,4.055056179,360.9,4.055056179,,,,,,,,,,,,,,,,,,,"Sean Murphy","19352",669221
"Kerry Carpenter","DET",114.868,473.471,434.158,109.821,63.898,19.2321,3.31037,23.3805,61.2205,69.2515,29.9336,1.43522,113.009,6.24645,2.94222,0.190228,5.86419,2.27533,1.19371,0.252951,0.0632216,0.238682,0.264878,0.308487,0.474056,0.333922,0.782543,0.221104,4.17527,0.287453,-0.11687,-0.684985,63.9657,8.02143,114.319,-0.801855,-0.590892,7.188869535923004,-10.061909019947052,1.37335,236.24000549316406,1.11664,-0.0557501,0.599773,1.11664,0.0557501,4.2003,579.4,5.038260869,579.4,5.038260869,,,,,,,,,,,,,,,,,,,"Kerry Carpenter","25961",681481
