Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14,7,22,2.66801,32,32,0,0,,200,790,156,65,59,19,40,,7,245,10.9973,1.81245,6.06768,0.84838,0.310015,0.0510928,0.2589217722415924,0.210246,0.980556,0.286594,0.775389,,,2.62322,6.33616,6.18169,6.800000190734863,,,,,,,1189.6999999999998,5.948499999999999,1102,5.51,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",15,8,21,2.90048,32,32,0,0,,197,796,162,69,64,20,52,,5,245,11.1845,2.3614,4.7364,0.894352,0.307722,0.0649696,0.24275226891040802,0.218893,1.08316,0.299639,0.774851,,,2.80782,5.79882,5.89967,11.829999923706055,,,,,,,1109.6000000000001,5.632487309644671,1044,5.299492385786802,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",13,8,21,2.84096,32,32,0,0,,189,761,152,65,60,17,49,,6,223,10.6206,2.35198,4.51559,0.808429,0.293284,0.0649491,0.2283344566822052,0.216048,1.06713,0.291065,0.769061,,,2.82446,5.41285,5.83945,10.210000038146973,,,,,,,1075.3000000000002,5.689417989417991,1005,5.317460317460317,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",12,8,20,3.21422,32,32,0,0,,200,820,183,78,71,18,49,,7,193,8.68903,2.2094,3.93275,0.802798,0.235315,0.0598347,0.1754799410700798,0.23942,1.16094,0.298396,0.74301,,,3.20133,4.78553,5.15763,25.6299991607666,,,,,,,1000.8,5.004,984,4.92,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",14,9,20,3.18481,32,32,0,0,,202,836,191,79,72,16,45,,6,191,8.49758,2.00805,4.23177,0.711908,0.228467,0.0539885,0.17447824403643608,0.243452,1.16817,0.302927,0.736278,,,3.02738,4.5336,4.54127,59.709999084472656,,,,,,,1030.4,5.100990099009901,1031,5.103960396039604,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cole Ragans","KCR",11,8,17,3.40374,29,29,0,0,,163,674,132,67,62,17,58,,5,202,11.1479,3.19611,3.48796,0.955779,0.299203,0.0857818,0.21342138200998306,0.215554,1.16462,0.291756,0.741928,,,3.19165,4.06345,3.7084,46.630001068115234,,,,,,,868.9000000000001,5.330674846625768,809,4.96319018404908,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Chris Sale","ATL",12,6,18,3.14754,28,28,0,0,,165,676,138,62,58,18,44,,10,200,10.9041,2.40858,4.52718,0.95341,0.29623,0.0654337,0.23079674690961838,0.221807,1.10269,0.297929,0.760092,,,3.06446,3.98853,4.38289,38.849998474121094,,,,,,,878.8,5.326060606060606,829,5.024242424242424,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Max Fried","NYY",14,9,19,3.32434,31,31,0,0,,189,779,169,76,70,17,54,,7,176,8.37275,2.57823,3.24747,0.812211,0.225242,0.069359,0.15588261932134628,0.234681,1.17982,0.288253,0.73671,,,3.41851,3.90623,3.96213,50.650001525878906,,,,,,,919.1000000000003,4.862962962962964,893,4.724867724867725,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Hunter Brown","HOU",13,8,19,3.34467,31,31,0,0,,183,759,157,74,68,19,60,,7,197,9.67018,2.96264,3.26404,0.939784,0.259233,0.079421,0.17981228977441788,0.227425,1.18844,0.290398,0.751715,,,3.44335,3.77624,3.97855,36.880001068115234,,,,,,,905.3,4.946994535519125,861,4.704918032786885,,,,,,,,,,,,,,,,,,,"Hunter Brown","25880",686613
"Sonny Gray","BOS",12,10,17,3.71573,31,31,0,0,,178,746,169,80,74,21,47,,5,186,9.38232,2.38644,3.93151,1.0792,0.249291,0.0634085,0.18588262051343918,0.244156,1.21444,0.304288,0.733293,,,3.4904,3.7126,3.37465,134.85000610351562,,,,,,,835.5000000000001,4.693820224719102,833,4.679775280898877,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Jacob deGrom","TEX",11,8,17,3.50286,29,29,0,0,,169,679,143,71,66,23,40,,4,188,10.0266,2.1115,4.74858,1.22894,0.276551,0.0582386,0.21831201016902924,0.224974,1.08306,0.282421,0.741812,,,3.45348,3.67711,3.30798,48.869998931884766,,,,,,,839.9000000000003,4.969822485207103,790,4.674556213017752,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Dylan Cease","TOR",12,9,18,3.57182,31,31,0,0,,173,727,144,74,69,20,65,,5,203,10.5315,3.38946,3.10714,1.05402,0.279228,0.0898663,0.18936122953891754,0.220085,1.20985,0.286598,0.747311,,,3.53148,3.66096,3.17456,74.66000366210938,,,,,,,855.8000000000001,4.946820809248555,801,4.630057803468208,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Framber Valdez","DET",13,10,19,3.41034,31,31,0,0,,195,813,177,81,74,17,65,,8,180,8.3292,2.98378,2.79149,0.778979,0.221846,0.0794721,0.14237388223409653,0.239181,1.23961,0.295025,0.738296,,,3.53456,3.6385,3.97002,84.91000366210938,,,,,,,914.7,4.690769230769231,895,4.589743589743589,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Yoshinobu Yamamoto","LAD",12,7,16,3.37775,26,26,0,0,,155,627,129,63,58,17,43,,5,165,9.53875,2.51941,3.7861,0.968098,0.262618,0.0693638,0.19325461238622665,0.223406,1.11193,0.283343,0.731477,,,3.34857,3.63133,3.56905,26.959999084472656,,,,,,,788.5000000000001,5.087096774193549,740,4.774193548387097,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Bryan Woo","SEA",13,10,19,3.46481,32,32,0,0,,195,788,169,81,75,25,43,,9,197,9.09444,1.96283,4.63333,1.15706,0.25041,0.0540453,0.19636469706892967,0.228586,1.08062,0.278623,0.737297,,,3.57157,3.54602,3.31022,35.29999923706055,,,,,,,934.1,4.7902564102564105,888,4.553846153846154,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Zack Wheeler","PHI",11,7,16,3.31475,26,26,0,0,,157,638,133,63,58,18,41,,7,171,9.81175,2.36209,4.15384,1.00714,0.268121,0.0645478,0.2035733461380005,0.224849,1.10746,0.286815,0.744484,,,3.33336,3.54229,3.84857,114.36000061035156,,,,,,,792.5999999999999,5.0484076433121015,749,4.770700636942675,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Jesús Luzardo","PHI",12,10,17,3.77599,31,31,0,0,,179,742,157,81,75,23,56,,5,197,9.94087,2.80404,3.5452,1.16939,0.26591,0.0750056,0.1909041330218315,0.230992,1.19263,0.29116,0.730078,,,3.63377,3.53217,3.38976,73.44000244140625,,,,,,,844.5000000000002,4.717877094972068,807,4.5083798882681565,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Ranger Suarez","BOS",12,9,17,3.61464,29,29,0,0,,169,713,166,74,68,17,49,,5,149,7.9407,2.60114,3.05278,0.886565,0.20914,0.068508,0.14063172787427902,0.251233,1.26888,0.301895,0.735041,,,3.60663,3.37208,3.41206,181.10000610351562,,,,,,,745.9000000000002,4.413609467455623,760,4.497041420118343,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"George Kirby","SEA",12,9,18,3.52177,31,31,0,0,,173,711,160,74,68,21,32,,7,170,8.83443,1.67735,5.26689,1.07605,0.239417,0.0454569,0.19395961612462997,0.238879,1.11154,0.290645,0.726761,,,3.40728,3.26846,2.68705,65.95999908447266,,,,,,,828.9000000000001,4.791329479768787,815,4.710982658959537,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Joe Ryan","MIN",11,10,16,3.79136,29,29,0,0,,167,685,147,76,70,24,40,,9,183,9.83015,2.13676,4.60049,1.31384,0.266836,0.0580017,0.2088347263634205,0.231325,1.11724,0.286077,0.72932,,,3.71812,3.1434,2.7826,79.79000091552734,,,,,,,777.3999999999999,4.65508982035928,742,4.4431137724550895,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Shane McClanahan","TBR",9,7,14,3.3345,24,24,0,0,,139,565,119,56,51,16,39,,3,150,9.73382,2.5384,3.83463,1.04085,0.265427,0.0692183,0.19620824605226517,0.22818,1.1421,0.289424,0.75594,,,3.39201,3.12986,3.08784,201.8699951171875,,,,,,,696.4000000000002,5.010071942446045,661,4.755395683453237,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
"Aaron Nola","PHI",11,10,16,4.116,31,31,0,0,,180,752,172,89,82,26,45,,5,177,8.86346,2.25883,3.92392,1.3038,0.235783,0.0600887,0.17569466680288315,0.246066,1.20949,0.294198,0.711876,,,3.89333,3.10924,2.62677,212.11000061035156,,,,,,,769,4.272222222222222,766,4.2555555555555555,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Logan Gilbert","SEA",10,7,17,3.41056,29,29,0,0,,163,661,139,67,62,21,39,,5,178,9.82619,2.14178,4.58785,1.15354,0.269659,0.0587768,0.2108822837471962,0.224663,1.08664,0.281714,0.745609,,,3.43169,3.05457,2.85073,35.400001525878906,,,,,,,810.5000000000001,4.97239263803681,766,4.699386503067485,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Kevin Gausman","TOR",12,10,17,3.87709,31,31,0,0,,182,763,171,85,78,24,53,,3,177,8.7556,2.60051,3.36688,1.19279,0.23194,0.0688887,0.16305144876241684,0.242434,1.23131,0.291127,0.731784,,,3.83422,3.04341,2.57431,115.80000305175781,,,,,,,792.9999999999999,4.357142857142857,784,4.3076923076923075,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Nathan Eovaldi","TEX",10,10,16,3.77618,29,29,0,0,,173,715,160,79,73,22,45,,7,164,8.50052,2.33709,3.63723,1.12281,0.228614,0.062854,0.16576038300991058,0.241191,1.18406,0.289372,0.720748,,,3.76451,2.94798,2.69383,140.5399932861328,,,,,,,765.5999999999999,4.4254335260115605,751,4.341040462427745,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Brandon Woodruff","MIL",10,8,15,3.74459,28,28,0,0,,151,621,133,67,63,21,41,,6,160,9.52718,2.43454,3.91333,1.26391,0.256963,0.0656635,0.1912996917963028,0.231825,1.15346,0.284523,0.738563,,,3.77621,2.94294,2.78175,125.95999908447266,,,,,,,692.3000000000002,4.584768211920531,661,4.377483443708609,,,,,,,,,,,,,,,,,,,"Brandon Woodruff","16162",605540
"Michael King","SDP",10,9,16,3.68246,29,29,0,0,,161,681,143,72,66,20,58,,7,170,9.47418,3.2567,2.90913,1.11873,0.249413,0.0857346,0.16367870569229126,0.231794,1.24568,0.288135,0.74898,,,3.86873,2.90613,2.6919,126.05999755859375,,,,,,,718.6000000000001,4.463354037267082,690,4.285714285714286,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Kyle Bradish","BAL",8,7,15,3.6181,26,26,0,0,,137,573,122,60,55,15,43,,6,145,9.51646,2.84577,3.34407,0.99243,0.253575,0.0758282,0.1777469515800476,0.233464,1.20487,0.294982,0.732729,,,3.54417,2.88556,2.37964,72.48999786376953,,,,,,,655.1000000000001,4.781751824817519,633,4.62043795620438,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"MacKenzie Gore","TEX",11,9,16,3.82355,29,29,0,0,,160,677,139,73,68,19,60,,8,182,10.2505,3.36313,3.04791,1.09722,0.268972,0.0882482,0.18072425574064255,0.228299,1.24411,0.293327,0.733162,,,3.7074,2.88372,2.49712,163.22000122070312,,,,,,,748.9,4.680625,713,4.45625,,,,,,,,,,,,,,,,,,,"MacKenzie Gore","22201",669022
"Drew Rasmussen","TBR",10,8,17,3.6418,31,31,0,0,,160,656,147,70,65,18,42,,5,144,8.07856,2.33946,3.45317,1.03877,0.219036,0.0634305,0.15560554713010788,0.241875,1.18043,0.288287,0.728678,,,3.71756,2.87896,2.94086,141.52000427246094,,,,,,,727.3999999999999,4.546249999999999,713,4.45625,,,,,,,,,,,,,,,,,,,"Drew Rasmussen","25385",656876
"José Soriano","LAA",11,10,17,3.86095,31,31,0,0,,176,758,163,82,76,15,76,,10,164,8.38831,3.90776,2.14658,0.756463,0.216588,0.100899,0.11568870395421982,0.242621,1.3585,0.30078,0.717266,,,3.84456,2.87584,2.82705,337.29998779296875,,,,,,,764.1000000000001,4.341477272727274,755,4.2897727272727275,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Spencer Strider","ATL",11,9,15,3.84571,28,28,0,0,,159,665,136,73,68,20,55,,8,187,10.6171,3.12597,3.39641,1.15017,0.281563,0.0829002,0.19866298139095306,0.226467,1.20674,0.29413,0.725627,,,3.62183,2.83394,2.76296,107.41999816894531,,,,,,,762.0000000000001,4.79245283018868,720,4.528301886792453,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Sandy Alcantara","MIA",11,11,16,4.07578,31,31,0,0,,188,790,182,92,85,21,54,,7,156,7.47385,2.58814,2.88773,1.0117,0.197593,0.0684251,0.1291683092713356,0.250345,1.25785,0.292495,0.696571,,,3.91647,2.72244,2.74169,145.89999389648438,,,,,,,788.7,4.195212765957447,796,4.23404255319149,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Blake Snell","LAD",10,6,14,3.54719,24,24,0,0,,132,555,106,56,52,15,59,,3,164,11.1792,3.9996,2.79508,1.03152,0.296176,0.105963,0.19021280854940414,0.214669,1.24427,0.289222,0.755299,,,3.54438,2.68631,2.77726,146.85000610351562,,,,,,,658.7000000000002,4.990151515151516,607,4.598484848484849,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Andrew Abbott","CIN",9,9,15,4.17498,29,29,0,0,,166,701,160,83,77,25,51,,4,151,8.17339,2.75559,2.96611,1.34452,0.214962,0.0724725,0.14248915016651154,0.247784,1.27062,0.287524,0.728138,,,4.25829,2.68054,2.53159,218.27999877929688,,,,,,,641.9000000000001,3.8668674698795185,642,3.8674698795180724,,,,,,,,,,,,,,,,,,,"Andrew Abbott","29911",671096
"Freddy Peralta","NYM",11,9,16,3.82903,29,29,0,0,,162,680,137,75,69,21,61,,7,177,9.82729,3.37409,2.91258,1.1885,0.260638,0.0894869,0.17115074396133423,0.223667,1.21816,0.279321,0.733548,,,3.92578,2.63429,2.40515,56.58000183105469,,,,,,,734.3,4.532716049382715,687,4.2407407407407405,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Tyler Glasnow","LAD",8,6,13,3.68038,24,24,0,0,,133,546,110,59,54,17,49,,3,155,10.5024,3.32003,3.16334,1.12681,0.28345,0.0896048,0.19384567439556122,0.222218,1.19745,0.288681,0.736151,,,3.59384,2.62589,2.51422,121.22000122070312,,,,,,,643.1,4.8353383458646615,598,4.496240601503759,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Nick Pivetta","SDP",10,10,16,3.9177,29,29,0,0,,173,714,150,81,75,27,52,,5,190,9.86025,2.72045,3.6245,1.41505,0.266021,0.0733952,0.19262554496526718,0.228848,1.16928,0.279907,0.740941,,,3.9774,2.55253,2.494,94.6500015258789,,,,,,,767.0999999999999,4.434104046242774,723,4.179190751445087,,,,,,,,,,,,,,,,,,,"Nick Pivetta","15454",601713
"Tanner Bibee","CLE",11,11,17,3.90322,31,31,0,0,,182,764,170,85,79,24,54,,8,170,8.42207,2.68451,3.13728,1.21035,0.222652,0.0709698,0.151682510972023,0.242374,1.23394,0.287146,0.731369,,,4.03933,2.54365,2.57852,186.1699981689453,,,,,,,763.5999999999999,4.195604395604395,752,4.131868131868132,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Kris Bubic","KCR",10,8,12,3.74541,34,24,0,1,,145,614,136,65,60,16,49,,5,140,8.71272,3.05391,2.85297,0.967036,0.228335,0.0800341,0.14830102026462555,0.243246,1.28042,0.298437,0.735756,,,3.70827,2.52589,2.51073,197.83999633789062,,,,,,,644.6,4.445517241379311,639,4.406896551724138,,,,,,,,,,,,,,,,,,,"Kris Bubic","21455",663460
"Jack Flaherty","DET",11,10,15,4.0116,29,29,0,0,,160,684,145,77,71,21,58,,7,176,9.86983,3.26594,3.02205,1.1938,0.256916,0.0850138,0.17190203070640564,0.234465,1.26791,0.293606,0.727464,,,3.89184,2.48574,2.1116,214.30999755859375,,,,,,,705.7,4.4106250000000005,684,4.275,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"Chase Burns","CIN",8,7,11,3.74255,29,21,0,1,,115,478,101,52,48,16,34,,2,133,10.3906,2.63447,3.94409,1.21658,0.277848,0.0704468,0.2074013352394104,0.228205,1.17028,0.29047,0.733209,,,3.51241,2.45866,2.19356,98.43000030517578,,,,,,,553.6,4.813913043478261,529,4.6,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Matthew Boyd","CHC",11,9,16,3.8894,29,29,0,0,,167,699,156,78,72,22,49,,7,149,8.01345,2.61601,3.06323,1.16513,0.212944,0.0695162,0.14342772960662842,0.242971,1.22573,0.284804,0.727008,,,4.03582,2.41911,2.59725,222.5399932861328,,,,,,,689.5999999999998,4.129341317365268,679,4.065868263473054,,,,,,,,,,,,,,,,,,,"Matthew Boyd","15440",571510
"Nick Lodolo","CIN",9,9,14,4.13335,28,28,0,0,,153,646,142,76,70,21,42,,16,156,9.17366,2.47764,3.70258,1.24791,0.241017,0.0650944,0.17592280358076096,0.240798,1.20175,0.292917,0.701652,,,4.0441,2.39391,2.38284,123.70999908447266,,,,,,,642.7,4.200653594771242,630,4.117647058823529,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Brady Singer","CIN",10,12,15,4.37761,31,31,0,0,,171,731,166,89,83,25,55,,10,162,8.53198,2.88913,2.95313,1.31382,0.221011,0.0748395,0.1461714506149292,0.249816,1.29715,0.295067,0.708044,,,4.28272,2.36109,2.26186,358.4800109863281,,,,,,,655.3000000000001,3.8321637426900588,659,3.853801169590643,,,,,,,,,,,,,,,,,,,"Brady Singer","25377",663903
"Mitch Keller","PIT",10,11,16,4.19255,31,31,0,0,,175,751,174,88,82,22,53,,11,152,7.8029,2.71637,2.87255,1.10871,0.202513,0.0704994,0.13201378285884857,0.253953,1.29666,0.297771,0.705996,,,4.09378,2.33999,2.38206,531.2899780273438,,,,,,,684.0000000000001,3.9085714285714293,701,4.005714285714285,,,,,,,,,,,,,,,,,,,"Mitch Keller","17594",656605
"Luis Castillo","SEA",11,10,17,3.81716,31,31,0,0,,179,749,166,83,76,24,51,,7,167,8.38754,2.54299,3.2983,1.22555,0.223328,0.0677101,0.15561795979738235,0.240294,1.20848,0.283554,0.735455,,,4.00051,2.33479,2.05599,172.64999389648438,,,,,,,757.8000000000001,4.233519553072626,743,4.150837988826815,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Yusei Kikuchi","LAA",9,10,15,4.20998,31,31,0,0,,169,728,165,86,79,25,63,,5,173,9.20545,3.32333,2.76995,1.33083,0.238075,0.0859493,0.1521257981657982,0.249581,1.34212,0.302496,0.737623,,,4.20653,2.32419,1.96082,484.20001220703125,,,,,,,656.1000000000001,3.88224852071006,662,3.9171597633136095,,,,,,,,,,,,,,,,,,,"Yusei Kikuchi","20633",579328
"Shohei Ohtani","LAD",8,5,13,3.51339,23,23,0,0,,116,471,91,49,45,15,40,,6,138,10.7118,3.1212,3.43196,1.18038,0.292259,0.0851579,0.20710064470767975,0.213926,1.13306,0.278293,0.746018,,,3.65091,2.30641,2.4577,1.2200000286102295,,,,,,,575.3000000000001,4.95948275862069,523,4.508620689655173,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Mason Miller","SDP",4,2,0,2.43334,66,0,32,2,,66,259,39,19,18,6,24,,2,106,14.5015,3.33215,4.352,0.812601,0.410284,0.0942746,0.31600895524024963,0.168206,0.962768,0.275795,0.803509,,,2.30014,2.30407,2.3939,29.469999313354492,,,,,,,615.2000000000002,9.321212121212124,554,8.393939393939394,,,,,,,,,,,,,,,,,,,"Mason Miller","31757",695243
"Carlos Rodón","NYY",11,9,15,3.99723,28,28,0,0,,155,655,136,74,69,21,56,,6,163,9.44916,3.26637,2.89286,1.19623,0.248603,0.0859367,0.16266603767871857,0.230249,1.24214,0.28315,0.722281,,,3.9774,2.30226,1.97265,199.35000610351562,,,,,,,675.1,4.355483870967742,642,4.141935483870967,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Emmet Sheehan","LAD",9,7,11,3.96518,42,24,0,1,,143,594,121,67,63,20,50,,6,162,10.2246,3.15814,3.23753,1.29034,0.272692,0.0842284,0.18846365809440613,0.224905,1.19913,0.282842,0.727528,,,3.91071,2.29733,1.98554,112.95999908447266,,,,,,,657.6,4.5986013986013985,615,4.300699300699301,,,,,,,,,,,,,,,,,,,"Emmet Sheehan","29839",686218
"Ryan Pepiot","TBR",11,11,16,4.05122,31,31,0,0,,169,707,148,82,76,24,61,,8,173,9.21048,3.22592,2.85515,1.2988,0.244739,0.0857184,0.15902016311883926,0.231338,1.2315,0.279615,0.726545,,,4.1871,2.29156,2.25648,126.98999786376953,,,,,,,709.6000000000001,4.198816568047338,672,3.9763313609467454,,,,,,,,,,,,,,,,,,,"Ryan Pepiot","26221",686752
"David Peterson","NYM",9,8,16,3.85049,29,29,0,0,,163,705,156,76,70,16,64,,8,146,8.07595,3.51887,2.29504,0.860979,0.207537,0.0904284,0.11710867285728455,0.246775,1.3501,0.2984,0.726766,,,3.89544,2.27237,2.36234,500.8299865722656,,,,,,,679.8000000000001,4.170552147239264,683,4.190184049079755,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Eury Pérez","MIA",8,9,14,4.0401,28,28,0,0,,135,561,117,65,61,19,46,,4,145,9.65073,3.09105,3.12215,1.25957,0.258579,0.0828207,0.17575834691524506,0.228556,1.20559,0.28212,0.71732,,,3.93428,2.25522,2.07607,82.12999725341797,,,,,,,601.0999999999999,4.452592592592592,568,4.207407407407407,,,,,,,,,,,,,,,,,,,"Eury Perez","27768",691587
"Joe Musgrove","SDP",9,9,15,3.89088,28,28,0,0,,158,665,150,73,68,20,41,,13,145,8.28212,2.34457,3.53247,1.15834,0.2181,0.0617416,0.15635863319039345,0.246028,1.21479,0.291743,0.723456,,,3.9896,2.25198,2.38484,216.47999572753906,,,,,,,661.2,4.184810126582279,658,4.1645569620253164,,,,,,,,,,,,,,,,,,,"Joe Musgrove","12970",605397
"Steven Matz","TBR",7,7,11,3.9505,35,23,0,1,,136,576,135,64,60,17,37,,5,120,7.98026,2.44979,3.25753,1.14303,0.209056,0.0641761,0.14487949758768082,0.253424,1.26955,0.29788,0.729836,,,3.93062,2.22585,1.76975,736.3800048828125,,,,,,,564.3000000000001,4.149264705882353,577,4.242647058823529,,,,,,,,,,,,,,,,,,,"Steven Matz","13361",571927
"Reid Detmers","LAA",9,9,11,4.07786,34,24,0,1,,145,613,129,71,66,19,53,,7,159,9.84578,3.27275,3.00841,1.16608,0.258726,0.0860008,0.17272505164146423,0.233239,1.25368,0.293342,0.714543,,,3.8685,2.18287,1.84261,329.1300048828125,,,,,,,645.9,4.454482758620689,620,4.275862068965517,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
"Jhoan Duran","PHI",7,3,0,2.67228,70,0,29,3,,70,285,55,23,21,4,22,,4,84,10.8311,2.83546,3.81987,0.534399,0.296005,0.0774909,0.21851437538862228,0.211974,1.0988,0.297537,0.756788,,,2.60488,2.14244,2.28675,41.650001525878906,,,,,,,572.8,8.182857142857141,545,7.785714285714286,,,,,,,,,,,,,,,,,,,"Jhoan Duran","21029",661395
"Michael Wacha","KCR",10,11,14,4.30944,29,29,0,0,,164,696,165,84,79,22,48,,5,128,7.01415,2.64234,2.65452,1.23079,0.184026,0.0693254,0.11470039188861847,0.256821,1.29808,0.289715,0.709215,,,4.32563,2.14185,1.99017,633.280029296875,,,,,,,611,3.725609756097561,631,3.847560975609756,,,,,,,,,,,,,,,,,,,"Michael Wacha","14078",608379
"Bailey Ober","MIN",8,9,14,4.31541,28,28,0,0,,155,648,153,80,74,25,37,,6,140,8.11704,2.12844,3.81361,1.47614,0.215542,0.056519,0.1590225286781788,0.252171,1.22281,0.288994,0.712733,,,4.28261,2.13311,1.60117,295.6000061035156,,,,,,,592.7,3.823870967741936,601,3.8774193548387097,,,,,,,,,,,,,,,,,,,"Bailey Ober","21224",641927
"Clay Holmes","NYM",10,9,15,3.89321,28,28,0,0,,153,663,152,72,66,13,57,,9,125,7.36605,3.36449,2.18935,0.785946,0.188457,0.0860791,0.10237826406955719,0.254234,1.3682,0.301798,0.718491,,,3.92847,2.10999,2.14463,381.1000061035156,,,,,,,629.0999999999999,4.1117647058823525,648,4.235294117647059,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
"Zac Gallen","ARI",13,11,16,4.02747,31,31,0,0,,182,769,174,88,81,23,59,,6,170,8.40491,2.91859,2.87978,1.13521,0.22063,0.0766133,0.14401639252901077,0.246703,1.27995,0.294815,0.721983,,,3.98426,2.1081,2.72867,224.5800018310547,,,,,,,756.5000000000001,4.156593406593407,756,4.153846153846154,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Grayson Rodriguez","LAA",7,8,12,3.94768,23,23,0,0,,122,516,112,58,54,16,41,,5,128,9.44082,3.0145,3.1318,1.18412,0.248406,0.0793173,0.16908886283636093,0.239087,1.25527,0.295548,0.727127,,,3.86802,2.09872,1.83538,262.010009765625,,,,,,,532.8000000000002,4.3672131147541,520,4.262295081967213,,,,,,,,,,,,,,,,,,,"Grayson Rodriguez","24492",680570
"Casey Mize","DET",9,9,14,4.04878,28,28,0,0,,145,616,143,71,65,19,41,,5,129,8.01939,2.51974,3.18263,1.20124,0.210056,0.0660008,0.14405538886785507,0.251159,1.26704,0.293782,0.721676,,,4.0238,2.08829,1.79437,273.80999755859375,,,,,,,587.5,4.051724137931035,598,4.124137931034483,,,,,,,,,,,,,,,,,,,"Casey Mize","20492",663554
"Gerrit Cole","NYY",8,7,12,3.92869,23,23,0,0,,136,564,122,64,59,19,39,,5,135,8.94054,2.60821,3.42785,1.29114,0.239163,0.0697706,0.169392429292202,0.234565,1.18773,0.280347,0.727039,,,3.99004,2.05952,1.8321,249.5800018310547,,,,,,,593.5,4.363970588235294,571,4.198529411764706,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Gavin Williams","CLE",10,9,17,3.85123,31,31,0,0,,168,716,149,78,72,21,71,,6,172,9.2071,3.80134,2.42207,1.12109,0.240532,0.0993088,0.14122360944747925,0.233619,1.30928,0.287806,0.745951,,,4.07864,2.05845,2.42619,139.4199981689453,,,,,,,710.5000000000001,4.229166666666667,680,4.0476190476190474,,,,,,,,,,,,,,,,,,,"Gavin Williams","30122",668909
"Merrill Kelly","ARI",10,8,15,3.93585,28,28,0,0,,159,668,154,75,69,21,48,,3,141,8.01754,2.69572,2.97417,1.18835,0.211718,0.0711856,0.14053259044885635,0.250425,1.27314,0.293747,0.736166,,,4.02936,2.05806,2.57904,261.0400085449219,,,,,,,646.9000000000002,4.0685534591194985,651,4.09433962264151,,,,,,,,,,,,,,,,,,,"Merrill Kelly","11156",518876
