Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mike Clevinger","PIT",2,2,1,4.72866,32,2,0,1,,38,166,39,21,20,6,14,,2,30,7.09138,3.21344,2.20679,1.36063,0.181148,0.082087,0.09906139969825745,0.262116,1.39054,0.293734,0.701565,,,4.74496,-0.0165655,-0.0363317,745.7000122070312,,,,,,,121.99999999999997,3.210526315789473,128,3.3684210526315788,,,,,,,,,,,,,,,,,,,"Mike Clevinger","12808",605182
"Guillo Zuñiga","SEA",0,0,0,4.50086,8,0,0,1,,8,35,8,4,4,1,4,,1,7,7.92535,4.00977,1.97651,1.23364,0.201208,0.101799,0.09940812736749649,0.244754,1.39029,0.28416,0.708783,,,4.7054,-0.0169793,-0.0125573,999,,,,,,,29.100000000000005,3.6375000000000006,30,3.75,,,,,,,,,,,,,,,,,,,"Guillo Zuniga","19588",670871
"Marc Church","TEX",1,1,0,4.7504,18,0,0,1,,18,80,17,10,10,2,9,,1,17,8.68656,4.67801,1.85689,1.17862,0.216807,0.116758,0.10004875063896179,0.242661,1.46557,0.290862,0.70589,,,4.56988,-0.0174871,-0.0412615,999,,,,,,,72.40000000000002,4.022222222222223,72,4,,,,,,,,,,,,,,,,,,,"Marc Church","26353",687847
"Corbin Martin","CHC",1,1,0,4.6148,10,0,0,1,,10,44,10,6,5,1,5,,0,9,8.01652,4.53229,1.76876,1.16353,0.201438,0.113887,0.08755112439393997,0.2472,1.46263,0.290165,0.712039,,,4.66091,-0.0175354,-0.0331149,999,,,,,,,42.7,4.2700000000000005,44,4.4,,,,,,,,,,,,,,,,,,,"Corbin Martin","19884",656686
"Jackson Kowar","BAL",1,1,0,4.7063,21,0,0,1,,21,94,21,12,11,3,10,,1,19,8.33122,4.28075,1.94621,1.24954,0.207104,0.106414,0.10068999230861664,0.251059,1.4625,0.295864,0.710787,,,4.70529,-0.0179229,-0.0597671,999,,,,,,,72.9,3.4714285714285715,75,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Jackson Kowar","21549",663804
"Chase Shugart","PHI",2,2,0,4.65451,42,0,0,1,,42,182,42,24,22,6,16,,2,34,7.27477,3.46059,2.10218,1.34564,0.186571,0.0887512,0.09781967848539352,0.255722,1.38269,0.288117,0.700994,,,4.74946,-0.0180115,-0.0751435,999,,,,,,,145.8,3.4714285714285715,150,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Chase Shugart","21544",663767
"Josh Simpson","SEA",1,1,0,4.1801,16,0,0,1,,16,70,14,8,7,2,8,,1,16,8.97649,4.5891,1.95605,1.019,0.227608,0.116361,0.11124686896800995,0.235836,1.4091,0.290866,0.725743,,,4.31995,-0.0180911,-0.0252983,999,,,,,,,66.4,4.15,63,3.9375,,,,,,,,,,,,,,,,,,,"Josh Simpson","25957",681006
"Andrew Walters","CLE",2,2,0,4.14504,38,0,0,1,,38,164,32,19,18,5,19,,2,43,10.264,4.51827,2.27166,1.22606,0.264041,0.116233,0.1478080451488495,0.224208,1.3456,0.284556,0.732485,,,4.29547,-0.0181266,-0.0240552,999,,,,,,,163.5,4.302631578947368,152,4,,,,,,,,,,,,,,,,,,,"Andrew Walters","33834",689958
"Eric Torres","BAL",0,0,0,4.93519,6,0,0,1,,6,27,6,4,3,1,4,,0,5,8.22825,5.35905,1.53539,1.305,0.200949,0.130878,0.07007105648517609,0.251247,1.57102,0.294146,0.720276,,,5.19194,-0.0181477,-0.034729,999,,,,,,,18.500000000000007,3.0833333333333344,19,3.1666666666666665,,,,,,,,,,,,,,,,,,,"Eric Torres","sa3017262",701539
"Zach Pop","PHI",1,1,0,4.65253,24,0,0,1,,24,105,25,14,12,3,9,,1,19,6.98419,3.2357,2.15848,1.18498,0.176996,0.0820002,0.09499562531709671,0.264226,1.40744,0.299595,0.690485,,,4.55001,-0.0185931,-0.051684,999,,,,,,,87.70000000000002,3.6541666666666672,93,3.875,,,,,,,,,,,,,,,,,,,"Zach Pop","20185",647315
