Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Reynaldo López","ATL",7.11767,8.56258,5.42094,4.49077,28.529,22.083,0,0.6492,,127.261,544.508,120.341,67.61,63.5,16.3008,46.4486,0.880745,4.27052,128.207,9.06689,3.28488,2.76019,1.1528,0.235455,0.0853039,0.15015068650245667,0.243711,1.31061,0.297871,0.688899,,,3.98107,2.06172,1.03102,295.3500061035156,,,,,,,541.0000000000002,4.259842519685042,537,4.228346456692913,,,,,,,,,,,,,,,,,,,"Reynaldo Lopez","16400",625643
"Casey Mize","DET",8.65754,9.30327,10.2859,4.24996,26.355,26.355,0,0,,144.573,608.417,139.187,73.55,68.27,20.0418,38.5218,0.473056,6.72365,119.235,7.42267,2.39807,3.09527,1.24764,0.195976,0.0633148,0.13266156613826752,0.247149,1.2292,0.281074,0.696015,,,4.22669,2.03876,1.63097,273.80999755859375,,,,,,,565.6,3.900689655172414,565,3.896551724137931,,,,,,,,,,,,,,,,,,,"Casey Mize","20492",663554
"Shota Imanaga","CHC",9.69083,8.5259,12.1876,4.18984,25.512,25.512,0,0,,153.242,631.613,138.958,76.68,71.34,28.2731,35.3101,0.387904,4.1613,142.727,8.38247,2.07379,4.04211,1.6605,0.225973,0.0559047,0.17006831243634224,0.23467,1.13721,0.262821,0.724561,,,4.44359,2.02565,1.83126,165.6699981689453,,,,,,,595.4000000000001,3.8915032679738566,570,3.7254901960784315,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Braxton Garrett","MIA",6.09257,8.5099,4.47604,4.13127,26.629,20.288,0,0.6387,,115.548,485.276,115.033,57.07,53.04,14.5188,27.5063,1.02464,5.18025,104.574,8.14525,2.14246,3.80182,1.13086,0.215494,0.0566819,0.1588125117123127,0.254166,1.23359,0.301395,0.699347,,,3.8072,2.02474,1.45403,509.30999755859375,,,,,,,489.9000000000001,4.2232758620689665,500,4.310344827586207,,,,,,,,,,,,,,,,,,,"Braxton Garrett","21844",666129
"Jacob Misiorowski","MIL",8.71508,9.64919,6.24171,4.08375,30.315,25.35,0,0.621,,137.741,590.593,112.285,66.52,62.5,17.8229,66.3729,0.89296,8.9647,156.889,10.2512,4.33681,2.36375,1.16455,0.265647,0.112384,0.1532636657357216,0.217922,1.29706,0.277388,0.729562,,,4.18008,1.99396,1.85073,120.5999984741211,,,,,,,601.6000000000001,4.359420289855073,549,3.9782608695652173,,,,,,,,,,,,,,,,,,,"Jacob Misiorowski","31623",694819
"Noah Cameron","KCR",8.5907,9.05602,11.3488,4.44992,25.188,25.188,0,0,,146.389,625.361,143.599,77.57,72.38,20.9183,47.4356,0.487683,4.90514,127.249,7.8233,2.91634,2.68258,1.28606,0.203482,0.0758531,0.12762866914272308,0.2506,1.30498,0.28876,0.701485,,,4.3269,1.99222,1.29168,269.2799987792969,,,,,,,545.7000000000002,3.737671232876713,555,3.8013698630136985,,,,,,,,,,,,,,,,,,,"Noah Cameron","30184",702070
"Carlos Rodón","NYY",9.06339,7.61561,10.9421,4.18969,23.51,23.51,0,0,,139.521,586.191,118.079,69.18,64.95,21.0685,52.1374,0.374057,5.96472,145.73,9.40051,3.36319,2.79511,1.35905,0.248604,0.0889426,0.15966185182332993,0.223597,1.22001,0.268512,0.717994,,,4.25853,1.98232,1.82529,199.35000610351562,,,,,,,588.9000000000001,4.206428571428572,545,3.892857142857143,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Robbie Ray","SFG",9.60173,10.6628,13.6057,4.58015,28.644,28.644,0,0,,170.071,730.064,153.877,93.29,86.55,28.6722,70.2011,0.487677,6.05731,182.823,9.67482,3.71498,2.60427,1.51731,0.25042,0.0961575,0.1542629525065422,0.235355,1.31755,0.283069,0.711048,,,4.52201,1.95362,1.28879,168.60000610351562,,,,,,,638.9,3.758235294117647,611,3.5941176470588236,,,,,,,,,,,,,,,,,,,"Robbie Ray","11486",592662
"Cade Horton","CHC",8.19738,7.56907,9.07738,4.09014,23.078,23.078,0,0,,127.514,532.829,115.297,62.15,57.95,16.8719,38.656,0.360251,5.13744,109.04,7.69612,2.72836,2.82079,1.19083,0.204644,0.0725486,0.1320955753326416,0.235764,1.20734,0.271052,0.704377,,,4.17529,1.94928,1.78115,183.69000244140625,,,,,,,525.1,4.10234375,505,3.9453125,,,,,,,,,,,,,,,,,,,"Cade Horton","31872",690990
"Shane Smith","CHW",8.49234,10.8238,11.6824,4.50992,28.002,28.002,0,0,,157.034,671.987,149.137,84.14,78.69,22.5554,54.6238,0.49514,8.54715,146.585,8.40112,3.13062,2.68353,1.2927,0.218136,0.081287,0.136849083006382,0.244962,1.29756,0.287897,0.694729,,,4.34229,1.94596,1.37644,246.36000061035156,,,,,,,593.5,3.7802547770700636,588,3.745222929936306,,,,,,,,,,,,,,,,,,,"Shane Smith","31687",681343
"Cam Schlittler","NYY",8.44306,7.67489,9.60644,4.26026,23.471,23.471,0,0,,131.337,559.841,120.061,66.2,62.17,17.1783,49.3604,0.361507,6.32532,129.44,8.86998,3.38247,2.62234,1.17716,0.231208,0.0881686,0.14303909242153168,0.238143,1.28997,0.287754,0.710051,,,4.13634,1.93721,1.5606,129.75999450683594,,,,,,,541.3000000000001,4.13206106870229,527,4.022900763358779,,,,,,,,,,,,,,,,,,,"Cam Schlittler","32095",693645
"Joe Musgrove","SDP",7.83004,7.48344,9.64368,4.18968,21.858,21.858,0,0,,126.611,531.575,118.149,63.05,58.94,18.4794,33.752,0.494797,7.70305,118.07,8.39286,2.39922,3.49816,1.31359,0.222113,0.0634942,0.15861867368221283,0.241061,1.19974,0.281893,0.704999,,,4.14972,1.92982,1.61386,216.47999572753906,,,,,,,521.6000000000001,4.107086614173229,511,4.0236220472440944,,,,,,,,,,,,,,,,,,,"Joe Musgrove","12970",605397
"Clay Holmes","NYM",10.4637,9.57193,9.15213,4.05603,27.781,26.697,0,0,,144.008,616.371,137.846,69.45,64.9,14.0545,53.3573,0.487494,8.42039,109.72,6.85709,3.33464,2.05632,0.878358,0.178009,0.0865667,0.09144214540719986,0.248553,1.32773,0.28734,0.70982,,,4.16704,1.92639,2.07102,381.1000061035156,,,,,,,571.6000000000001,3.9694444444444454,575,3.9930555555555554,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
