Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bryan Reynolds","PIT",146.158,632.325,563.65,143.476,94.0936,24.6919,5.8903,18.8003,77.8669,73.5142,55.2743,2.09958,153.549,8.25121,4.54656,0.603164,11.8553,5.87079,1.82708,0.254548,0.0874143,0.242832,0.359978,0.327678,0.41932,0.324492,0.746998,0.164772,4.98309,0.31496,,-0.600752,80.5855,5.87143,105.989,-0.600752,-1.84,3.8875441551208496,-9.096905589103699,1.61943,203.88999938964844,,,,,,,716.9,4.910273972,716.9,4.910273972,,,,,,,,,,,,,,,,,,,"Bryan Reynolds","19326",668804
"Gavin Lux","TBR",110.33,446.952,397.241,100.962,71.084,19.2006,3.0105,7.66703,49.9228,43.8002,44.1003,0.459708,97.227,1.99725,3.14821,0.46479,9.30029,4.05215,1.17694,0.254158,0.098669,0.217533,0.453581,0.32937,0.375552,0.311131,0.704922,0.121394,4.31808,0.315724,,-0.442108,52.1126,-0.698197,97.9881,-0.442108,0,-1.5019356608390808,1.755011796951294,1.5998,746.5999755859375,,,,,,,458.8,4.17090909,458.8,4.17090909,,,,,,,,,,,,,,,,,,,"Gavin Lux","19955",666158
"Spencer Torkelson","DET",147.254,617.343,539.534,125.328,70.8698,27.1102,0.509517,26.8382,73.5388,81.2327,64.4048,2.90604,160.174,7.48571,5.42984,0.488198,7.81755,2.47187,0.681589,0.232289,0.104326,0.259458,0.402092,0.319716,0.433654,0.32559,0.75337,0.201366,2.64592,0.275147,,-0.70802,79.2267,6.28291,108.58,-0.70802,0.45,5.5348480343818665,-11.161909878253937,1.59821,181.47999572753906,,,,,,,711.8,4.84217687,711.8,4.84217687,,,,,,,,,,,,,,,,,,,"Spencer Torkelson","27465",679529
"Colt Keith","DET",121.022,488.983,439.026,113.371,74.4381,20.7912,3.86305,14.2784,59.2402,55.3941,43.0875,1.53404,102.873,2.95642,3.44908,0.46401,8.14522,3.63887,1.1999,0.258233,0.0881166,0.210381,0.418842,0.326322,0.420757,0.324023,0.747079,0.162525,4.46119,0.304596,,-0.548863,62.1315,4.35436,107.5,-0.548863,0.13,3.773786962032318,-4.999388337135315,1.59653,430.9700012207031,,,,,,,551.9,4.561157024,551.9,4.561157024,,,,,,,,,,,,,,,,,,,"Colt Keith","27899",690993
"Jung Hoo Lee","SFG",136.806,568.573,515.708,140.356,93.3486,33.7066,4.57666,8.72417,68.8104,58.0759,42.0451,1.36076,63.5901,5.07971,4.98194,0.757751,11.6973,7.99161,2.42657,0.272162,0.0739484,0.111842,0.661189,0.330179,0.406021,0.320232,0.7362,0.133859,4.95496,0.293575,,-0.313777,70.4945,3.31323,107.348,-0.313777,-3.21,4.637858361005783,-8.184675216674805,1.57252,335.1600036621094,,,,,,,630.3,4.600729927,630.3,4.600729927,,,,,,,,,,,,,,,,,,,"Jung Hoo Lee","33824",808982
"Harrison Bader","SFG",122.795,485.217,443.315,105.753,69.5291,18.2093,3.14347,14.8716,61.6713,49.9441,30.4625,0.308719,120.023,7.35622,3.16482,0.918248,7.14063,15.4395,4.32888,0.238551,0.0627813,0.24736,0.253805,0.296454,0.394448,0.30082,0.690901,0.155896,6.13626,0.291676,,0.608513,52.5121,-4.82003,94.0499,0.608513,-0.02,-2.8133127689361572,1.874984484165907,1.55566,476.4200134277344,,,,,,,489.2,3.977235772,489.2,3.977235772,,,,,,,,,,,,,,,,,,,"Harrison Bader","18030",664056
"Jo Adell","LAA",138.872,565.792,514.507,119.172,66.1824,20.9888,2.01079,29.9895,71.4321,77.3084,39.2139,1.23065,155.615,7.85614,3.50489,0.512384,7.40475,10.1903,2.82659,0.231623,0.069308,0.275039,0.251994,0.29419,0.455097,0.320833,0.749287,0.223474,4.96567,0.268291,,0.141,70.4255,3.57278,104.375,0.141,-2.54,3.0586575269699097,-7.491268157958984,1.53889,119.69000244140625,,,,,,,657.3,4.728776978,657.3,4.728776978,,,,,,,,,,,,,,,,,,,"Jo Adell","20220",666176
"Konnor Griffin","PIT",90.584,377.27,345.434,88.5574,61.9519,15.4916,1.05831,10.0556,46.0296,39.5609,22.1429,1.19741,97.2628,6.50844,2.00087,1.18406,6.25484,13.8336,3.64705,0.256366,0.0586925,0.257807,0.227661,0.311654,0.39467,0.30785,0.706324,0.138305,5.57924,0.326932,,0.682968,42.9831,-1.59428,94.589,0.682968,0,-1.7365390062332153,4.193703651428223,1.53561,999,,,,,,,399,4.384615384,399,4.384615384,,,,,,,,,,,,,,,,,,,"Konnor Griffin","sa3065496",804606
"Tommy Edman","LAD",109.123,441.279,403.542,98.2188,64.6731,18.6126,2.02835,12.9047,55.5632,48.848,27.9474,0.736949,75.0046,4.29094,3.36859,2.06642,8.58926,9.69822,2.49739,0.243392,0.0633327,0.169971,0.372609,0.297068,0.395504,0.300609,0.692572,0.152112,5.45688,0.267441,,0.282008,47.6812,-4.4593,92.0208,0.282008,2.32,-3.8911504447460175,4.051433324813843,1.5185,701.9600219726562,,,,,,,442.9,4.063302752,442.9,4.063302752,,,,,,,,,,,,,,,,,,,"Tommy Edman","19470",669242
"Logan O'Hoppe","LAA",116.638,451.363,411.233,92.5873,56.7329,16.0481,0.801427,19.005,48.8405,55.5828,31.0729,0.408556,131.22,5.13334,2.80674,1.11732,6.73454,2.76427,0.907169,0.225146,0.0688424,0.290719,0.2368,0.286052,0.406712,0.30023,0.692764,0.181566,3.19612,0.278917,,-0.429504,48.6321,-4.69992,90.1829,-0.429504,-2.25,-5.65204530954361,4.898448944091797,1.51234,248.07000732421875,,,,,,,451.4,3.858119658,451.4,3.858119658,,,,,,,,,,,,,,,,,,,"Logan O'Hoppe","24729",681351
